"","ID","area_m2","WUA","HHS","species","life_stage","season"
"1","GR_10",74776,13736.0831579835,0.183696415400443,"chnk","juv","sum"
"2","GR_11",47133,8072.81329985359,0.171277306767097,"chnk","juv","sum"
"3","GR_12",132639,20961.2239905296,0.158032132257704,"chnk","juv","sum"
"4","GR_13",46960,8184.67443112962,0.174290341378399,"chnk","juv","sum"
"5","GR_14",56018,4799.23060322204,0.0856730087333007,"chnk","juv","sum"
"6","GR_15",47965,4221.7697784811,0.0880177166367373,"chnk","juv","sum"
"7","GR_16",53782,4030.80364399601,0.0749470760476742,"chnk","juv","sum"
"8","GR_17",123352,18709.2240877969,0.151673455540218,"chnk","juv","sum"
"9","GR_18",133760,22954.559762801,0.171610046073572,"chnk","juv","sum"
"10","GR_19",98603,20848.6765154188,0.211440590199272,"chnk","juv","sum"
"11","GR_20",85566,26197.8264768717,0.306170984700368,"chnk","juv","sum"
"12","GR_21",59439,11724.6371184467,0.19725495244615,"chnk","juv","sum"
"13","GR_6",23112,8495.5294622037,0.367580887080465,"chnk","juv","sum"
"14","GR_7",221423,50864.2295458948,0.229715203686585,"chnk","juv","sum"
"15","GR_8",66094,11716.0900996313,0.177264049681231,"chnk","juv","sum"
"16","GR_9",80269,14008.3534571745,0.174517602775349,"chnk","juv","sum"
