,ID,area_m2,WUA,HHS,species,life_stage,season
1,GR_10,86963,63273.39817,0.727589874,chnk,juv,win
2,GR_11,63346,39529.2359,0.624021026,chnk,juv,win
3,GR_12,162383,111019.9767,0.683692115,chnk,juv,win
4,GR_13,49656,34773.1358,0.700280647,chnk,juv,win
5,GR_14,65650,49988.54094,0.761440075,chnk,juv,win
6,GR_15,54647,42193.83671,0.77211625,chnk,juv,win
7,GR_16,62055,48944.40868,0.78872627,chnk,juv,win
8,GR_17,160062,122224.5516,0.76360755,chnk,juv,win
9,GR_18,182036,138776.8119,0.762359159,chnk,juv,win
10,GR_19,134830,102860.5433,0.762890627,chnk,juv,win
11,GR_20,135791,101826.971,0.749880117,chnk,juv,win
12,GR_21,90807,69554.79033,0.76596287,chnk,juv,win
13,GR_6,23112,17347.33357,0.750576911,chnk,juv,win
14,GR_7,221844,161052.5092,0.725971895,chnk,juv,win
15,GR_8,75062,57004.94849,0.759438178,chnk,juv,win
16,GR_9,92324,62130.11525,0.672957359,chnk,juv,win
