"","ID","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1","GR_1",56295,18235.1833590517,0.323921899974273,"lemh","chnk","juv","sum"
"2","GR_10",47965,4221.7697784811,0.0880177166367373,"lemh","chnk","juv","sum"
"3","GR_11",53782,4030.80364399601,0.0749470760476742,"lemh","chnk","juv","sum"
"4","GR_12",123352,18709.2240877969,0.151673455540218,"lemh","chnk","juv","sum"
"5","GR_13",133760,22954.559762801,0.171610046073572,"lemh","chnk","juv","sum"
"6","GR_14",98603,20848.6765154188,0.211440590199272,"lemh","chnk","juv","sum"
"7","GR_15",85566,26197.8264768717,0.306170984700368,"lemh","chnk","juv","sum"
"8","GR_16",59439,11724.6371184467,0.19725495244615,"lemh","chnk","juv","sum"
"9","GR_2",188240,41124.5756490468,0.218468846414401,"lemh","chnk","juv","sum"
"10","GR_3",66094,11716.0900996313,0.177264049681231,"lemh","chnk","juv","sum"
"11","GR_4",80269,14008.3534571745,0.174517602775349,"lemh","chnk","juv","sum"
"12","GR_5",74776,13736.0831579835,0.183696415400443,"lemh","chnk","juv","sum"
"13","GR_6",47133,8072.81329985359,0.171277306767097,"lemh","chnk","juv","sum"
"14","GR_7",132639,20961.2239905296,0.158032132257704,"lemh","chnk","juv","sum"
"15","GR_8",46960,8184.67443112962,0.174290341378399,"lemh","chnk","juv","sum"
"16","GR_9",56018,4799.23060322204,0.0856730087333007,"lemh","chnk","juv","sum"
