"","ID","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1","GR_1",56295,37371.4015275907,0.663849392087942,"lemh","chnk","spw","sum"
"2","GR_10",47965,30440.2928255438,0.634635522267149,"lemh","chnk","spw","sum"
"3","GR_11",53782,31761.0637018741,0.590551926329888,"lemh","chnk","spw","sum"
"4","GR_12",123352,86812.3559435989,0.703777449442237,"lemh","chnk","spw","sum"
"5","GR_13",133760,100862.112891162,0.754052877475791,"lemh","chnk","spw","sum"
"6","GR_14",98603,61407.7125749481,0.622777324979444,"lemh","chnk","spw","sum"
"7","GR_15",85566,48481.6101724953,0.566599001618579,"lemh","chnk","spw","sum"
"8","GR_16",59439,35364.1098252909,0.594964750841887,"lemh","chnk","spw","sum"
"9","GR_2",188240,133664.502168204,0.710074915895685,"lemh","chnk","spw","sum"
"10","GR_3",66094,48238.0056003112,0.729839404489231,"lemh","chnk","spw","sum"
"11","GR_4",80269,50135.5247838608,0.624593862934143,"lemh","chnk","spw","sum"
"12","GR_5",74776,52669.5419924666,0.704364261159551,"lemh","chnk","spw","sum"
"13","GR_6",47133,30253.7490536899,0.641880403405043,"lemh","chnk","spw","sum"
"14","GR_7",132639,89400.556991931,0.674014105895936,"lemh","chnk","spw","sum"
"15","GR_8",46960,34232.9167100686,0.728980338800438,"lemh","chnk","spw","sum"
"16","GR_9",56018,33405.8178913807,0.596340781380641,"lemh","chnk","spw","sum"
