"","ID","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1","GR_1",56295,41011.0101410556,0.72850182327126,"lemh","sthd","juv","sum"
"2","GR_10",47965,40140.2309566704,0.836865025678523,"lemh","sthd","juv","sum"
"3","GR_11",53782,45764.6447150642,0.850928651129824,"lemh","sthd","juv","sum"
"4","GR_12",123352,99265.4631414819,0.804733309078749,"lemh","sthd","juv","sum"
"5","GR_13",133760,110722.473038007,0.827769684793709,"lemh","sthd","juv","sum"
"6","GR_14",98603,75124.6094077178,0.761889693089641,"lemh","sthd","juv","sum"
"7","GR_15",85566,61516.2066636186,0.718932831540782,"lemh","sthd","juv","sum"
"8","GR_16",59439,44492.5606497601,0.748541540903448,"lemh","sthd","juv","sum"
"9","GR_2",188240,144402.922499653,0.767121347745713,"lemh","sthd","juv","sum"
"10","GR_3",66094,50938.6256874609,0.770699695697959,"lemh","sthd","juv","sum"
"11","GR_4",80269,58061.2363332808,0.723333246125912,"lemh","sthd","juv","sum"
"12","GR_5",74776,57045.071952451,0.762879425918089,"lemh","sthd","juv","sum"
"13","GR_6",47133,34386.2302037789,0.729557426936095,"lemh","sthd","juv","sum"
"14","GR_7",132639,101142.349729606,0.762538542431757,"lemh","sthd","juv","sum"
"15","GR_8",46960,36967.1371445414,0.787204794389722,"lemh","sthd","juv","sum"
"16","GR_9",56018,46863.1206682464,0.836572542187269,"lemh","sthd","juv","sum"
