,ID,area_m2,WUA,HHS,watershed,species,life_stage,season
1,GR_10,85509,63273.71648,0.739965576,lemh,sthd,spw,win
2,GR_11,61293,39529.45988,0.644926172,lemh,sthd,spw,win
3,GR_12,157721,111020.5786,0.703904861,lemh,sthd,spw,win
4,GR_13,46899,34773.28072,0.741450366,lemh,sthd,spw,win
5,GR_14,64631,49988.73508,0.773448269,lemh,sthd,spw,win
6,GR_15,53241,42193.98798,0.792509306,lemh,sthd,spw,win
7,GR_16,60416,48944.56977,0.810125956,lemh,sthd,spw,win
8,GR_17,156383,122225.0576,0.781575092,lemh,sthd,spw,win
9,GR_18,176500,138777.3402,0.786273882,lemh,sthd,spw,win
10,GR_19,130245,102860.9169,0.789749449,lemh,sthd,spw,win
11,GR_20,130705,101827.3851,0.779062661,lemh,sthd,spw,win
12,GR_21,89755,69555.0844,0.774943841,lemh,sthd,spw,win
13,GR_6,23037,17347.44255,0.753025244,lemh,sthd,spw,win
14,GR_7,221078,161053.5444,0.728491955,lemh,sthd,spw,win
15,GR_8,74281,57005.25243,0.7674271,lemh,sthd,spw,win
16,GR_9,91884,62130.55512,0.676184702,lemh,sthd,spw,win
