"","ID","area_m2","WUA","HHS","species","life_stage","season"
"1","GR_10",86963,69639.352577663,0.800792895572405,"sthd","juv","win"
"2","GR_11",63346,48863.0963426544,0.771368300171351,"sthd","juv","win"
"3","GR_12",162383,128753.787097723,0.792901886883006,"sthd","juv","win"
"4","GR_13",49656,40379.063063446,0.813175911540317,"sthd","juv","win"
"5","GR_14",65650,50465.9223285289,0.768711688172566,"sthd","juv","win"
"6","GR_15",54647,44536.7789008566,0.814990372771728,"sthd","juv","win"
"7","GR_16",62055,50815.4091303479,0.818876949969348,"sthd","juv","win"
"8","GR_17",160062,131094.004940008,0.819020160562834,"sthd","juv","win"
"9","GR_18",182036,149752.813408869,0.822654933138878,"sthd","juv","win"
"10","GR_19",134830,108031.527881012,0.801242511911387,"sthd","juv","win"
"11","GR_20",135791,110571.747983646,0.814278913798747,"sthd","juv","win"
"12","GR_21",90807,70806.7888462702,0.779750336937353,"sthd","juv","win"
"13","GR_6",23112,18192.7663997933,0.787156732424426,"sthd","juv","win"
"14","GR_7",221844,172799.712498033,0.778924435630593,"sthd","juv","win"
"15","GR_8",75062,60131.1850999938,0.801086902826914,"sthd","juv","win"
"16","GR_9",92324,70312.953923872,0.761589120097396,"sthd","juv","win"
