"","ID","area_m2","WUA","HHS","species","life_stage","season"
"1","GR_10",70724,52669.9548116212,0.744725338097692,"sthd","spw","sum"
"2","GR_11",43117,30253.926949044,0.701670500012617,"sthd","spw","sum"
"3","GR_12",121703,89401.1353722978,0.734584483310171,"sthd","spw","sum"
"4","GR_13",43426,34233.0826083991,0.788308446746168,"sthd","spw","sum"
"5","GR_14",44354,33406.0456375293,0.753168725200193,"sthd","spw","sum"
"6","GR_15",39137,30440.4543998758,0.777792227300913,"sthd","spw","sum"
"7","GR_16",41364,31761.237501739,0.767847343142322,"sthd","spw","sum"
"8","GR_17",108425,86812.9490519623,0.800672806566404,"sthd","spw","sum"
"9","GR_18",121361,100862.745800719,0.831096858139919,"sthd","spw","sum"
"10","GR_19",90704,61408.2987719465,0.67701864054448,"sthd","spw","sum"
"11","GR_20",81551,48482.1955688466,0.594501545889647,"sthd","spw","sum"
"12","GR_21",54668,35364.5754184774,0.646897186991976,"sthd","spw","sum"
"13","GR_6",22906,15857.8954879357,0.692303129657543,"sthd","spw","sum"
"14","GR_7",214416,155179.46363065,0.72373080194878,"sthd","spw","sum"
"15","GR_8",63881,48238.4514943656,0.75512987420932,"sthd","spw","sum"
"16","GR_9",75961,50136.0289227682,0.660023287249617,"sthd","spw","sum"
