"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,11553,1872.28673095768,0.162060653592806,"lemh","chnk","juv","sum"
"2",2,11250,1401.19792920083,0.124550927040074,"lemh","chnk","juv","sum"
"3",3,10241,1646.162245935,0.160742334336003,"lemh","chnk","juv","sum"
"4",4,9825,2848.00031464826,0.289872805562164,"lemh","chnk","juv","sum"
"5",5,11763,3012.26642521448,0.256079777710998,"lemh","chnk","juv","sum"
"6",6,10899,2636.7165446282,0.241922795176457,"lemh","chnk","juv","sum"
"7",7,11235,4030.63976410055,0.358757433386786,"lemh","chnk","juv","sum"
"8",8,10003,3145.81465283234,0.31448711914749,"lemh","chnk","juv","sum"
"9",9,11546,3438.08708994521,0.297773002766777,"lemh","chnk","juv","sum"
"10",10,10995,4031.05679257633,0.366626356760012,"lemh","chnk","juv","sum"
"11",11,10595,2657.78910116083,0.250853147820748,"lemh","chnk","juv","sum"
"12",12,9963,3210.52761993976,0.322245068748345,"lemh","chnk","juv","sum"
"13",13,11055,3210.40721217031,0.290403185180489,"lemh","chnk","juv","sum"
"14",14,9599,1863.86539201034,0.194172871341842,"lemh","chnk","juv","sum"
"15",15,11533,3198.45102673385,0.277330358686712,"lemh","chnk","juv","sum"
"16",16,10930,2218.23922284273,0.202949608677286,"lemh","chnk","juv","sum"
"17",17,12944,2859.9296206524,0.220946355118387,"lemh","chnk","juv","sum"
"18",18,12593,2477.14405686589,0.196708016903509,"lemh","chnk","juv","sum"
"19",19,14345,4035.0677940051,0.281287402858494,"lemh","chnk","juv","sum"
"20",20,13287,2432.22360819252,0.183052879370251,"lemh","chnk","juv","sum"
"21",21,13330,1740.75536907511,0.130589300005635,"lemh","chnk","juv","sum"
"22",22,13267,1867.751043458,0.140781717302932,"lemh","chnk","juv","sum"
"23",23,11697,2089.67476700025,0.178650488757823,"lemh","chnk","juv","sum"
"24",24,11904,2676.65986282355,0.224853819121602,"lemh","chnk","juv","sum"
"25",25,12398,2317.08807681513,0.186892085563407,"lemh","chnk","juv","sum"
"26",26,12505,2725.19671818661,0.217928566028517,"lemh","chnk","juv","sum"
"27",27,11024,1444.81964760181,0.131061288788262,"lemh","chnk","juv","sum"
"28",28,12223,2486.37540303823,0.203417770026853,"lemh","chnk","juv","sum"
"29",29,11880,2425.97576732031,0.204206714420902,"lemh","chnk","juv","sum"
"30",30,11731,1744.87508674385,0.148740523974414,"lemh","chnk","juv","sum"
"31",31,11751,1328.13126211803,0.113022828875672,"lemh","chnk","juv","sum"
"32",32,12540,1928.38789548818,0.153778939034145,"lemh","chnk","juv","sum"
"33",33,12153,1751.77065471746,0.144143063829298,"lemh","chnk","juv","sum"
"34",34,14874,3127.12698846316,0.210241158293879,"lemh","chnk","juv","sum"
"35",35,13502,2483.70466488285,0.183950871343716,"lemh","chnk","juv","sum"
"36",36,9993,596.470906801085,0.0596888728911323,"lemh","chnk","juv","sum"
"37",37,11794,1329.51425048074,0.112728018524737,"lemh","chnk","juv","sum"
"38",38,12360,1728.67704498733,0.139860602345253,"lemh","chnk","juv","sum"
"39",39,14354,2965.52412053029,0.206599144526285,"lemh","chnk","juv","sum"
"40",40,14077,2300.58628131737,0.163428733488483,"lemh","chnk","juv","sum"
"41",41,14265,1934.5439017975,0.135614714461795,"lemh","chnk","juv","sum"
"42",42,13099,1417.33421984455,0.108201711569169,"lemh","chnk","juv","sum"
"43",43,12563,625.481626765919,0.0497876006340778,"lemh","chnk","juv","sum"
"44",44,12323,1046.85734393913,0.0849515007659769,"lemh","chnk","juv","sum"
"45",45,12674,1423.21057944791,0.112293717804001,"lemh","chnk","juv","sum"
"46",46,12346,616.831665672362,0.0499620659057478,"lemh","chnk","juv","sum"
"47",47,12157,977.119756346336,0.0803750724970252,"lemh","chnk","juv","sum"
"48",48,12787,880.432965791901,0.0688537550474623,"lemh","chnk","juv","sum"
"49",49,12469,978.486626322032,0.0784735444961129,"lemh","chnk","juv","sum"
"50",50,13604,1716.92067303031,0.126207047414754,"lemh","chnk","juv","sum"
"51",51,14952,1956.64283886179,0.130861613085995,"lemh","chnk","juv","sum"
"52",52,14157,1028.66070366953,0.0726609241837632,"lemh","chnk","juv","sum"
"53",53,12863,635.029477229342,0.0493686913806532,"lemh","chnk","juv","sum"
"54",54,13762,1154.73914083932,0.0839077997993981,"lemh","chnk","juv","sum"
"55",55,12823,1022.84703897836,0.0797665943210139,"lemh","chnk","juv","sum"
"56",56,12088,2654.01769442187,0.219558048843636,"lemh","chnk","juv","sum"
"57",57,10254,2206.05700052003,0.215141115712895,"lemh","chnk","juv","sum"
"58",58,12038,2489.8741290872,0.20683453473062,"lemh","chnk","juv","sum"
"59",59,15174,3672.06253344164,0.241997003653726,"lemh","chnk","juv","sum"
"60",60,12438,1517.18988301256,0.12198021249498,"lemh","chnk","juv","sum"
"61",61,15957,3362.80268783215,0.210741535867153,"lemh","chnk","juv","sum"
"62",62,12773,1748.12316982204,0.136860813420656,"lemh","chnk","juv","sum"
"63",63,13493,1644.68741285801,0.121891900456385,"lemh","chnk","juv","sum"
"64",64,14338,2072.77067338277,0.144564839823041,"lemh","chnk","juv","sum"
"65",65,13009,1577.47824564832,0.121260530836215,"lemh","chnk","juv","sum"
"66",66,10905,1338.41850442626,0.122734388301353,"lemh","chnk","juv","sum"
"67",67,11670,2046.47617737856,0.175362140306646,"lemh","chnk","juv","sum"
"68",68,11585,1598.16302333772,0.13795105941629,"lemh","chnk","juv","sum"
"69",69,13072,2021.87165463279,0.154671944203855,"lemh","chnk","juv","sum"
"70",70,10408,1151.81866698735,0.110666666697478,"lemh","chnk","juv","sum"
"71",71,12477,2108.99661108822,0.169030745458702,"lemh","chnk","juv","sum"
"72",72,14263,3118.11418604059,0.218615591813825,"lemh","chnk","juv","sum"
"73",73,11339,1510.91216625669,0.133249154798191,"lemh","chnk","juv","sum"
"74",74,11879,2129.19600994117,0.179240340932837,"lemh","chnk","juv","sum"
"75",75,21389,5022.29860408092,0.234807546125622,"lemh","chnk","juv","sum"
"76",76,12576,2589.37195891363,0.205897897496313,"lemh","chnk","juv","sum"
"77",77,10445,1438.09999654815,0.137683101632182,"lemh","chnk","juv","sum"
"78",78,12786,2944.38471391698,0.230281926632018,"lemh","chnk","juv","sum"
"79",79,16970,2959.52181416343,0.174397278383231,"lemh","chnk","juv","sum"
"80",80,18320,4046.11972171109,0.220858063412177,"lemh","chnk","juv","sum"
"81",81,18471,2948.02995310398,0.159603159174055,"lemh","chnk","juv","sum"
"82",82,11221,1015.20454620686,0.0904736250072956,"lemh","chnk","juv","sum"
"83",83,9596,1138.72908081498,0.118667057192058,"lemh","chnk","juv","sum"
"84",84,10966,1865.59434138006,0.170125327501373,"lemh","chnk","juv","sum"
"85",85,10880,2439.79915817524,0.224246246155813,"lemh","chnk","juv","sum"
"86",86,13227,2118.71487618354,0.160181059664591,"lemh","chnk","juv","sum"
"87",87,17094,3386.15795089334,0.198090438217698,"lemh","chnk","juv","sum"
"88",88,15120,2373.12899765384,0.156952976035307,"lemh","chnk","juv","sum"
"89",89,17392,2861.11985811684,0.164507811529257,"lemh","chnk","juv","sum"
"90",90,13309,2927.21116235282,0.219942231749404,"lemh","chnk","juv","sum"
"91",91,12402,2313.73547918862,0.186561480340963,"lemh","chnk","juv","sum"
"92",92,12788,2859.81611676142,0.223632789862482,"lemh","chnk","juv","sum"
"93",93,13064,2767.38215134456,0.211832681517495,"lemh","chnk","juv","sum"
"94",94,13631,2704.76466378989,0.198427456810937,"lemh","chnk","juv","sum"
"95",95,11932,1682.52163448208,0.141009188273724,"lemh","chnk","juv","sum"
"96",96,13426,3530.69663246162,0.262974574144319,"lemh","chnk","juv","sum"
"97",97,13595,2807.11595228582,0.206481497041988,"lemh","chnk","juv","sum"
"98",98,15718,4337.57877860346,0.275962512953522,"lemh","chnk","juv","sum"
"99",99,32006,7585.85185836186,0.237013430555579,"lemh","chnk","juv","sum"
"100",100,18355,4998.93381874962,0.272347252451627,"lemh","chnk","juv","sum"
"101",101,12890,3596.80674030643,0.279038536874045,"lemh","chnk","juv","sum"
"102",102,9916,3021.53422855877,0.304713012158004,"lemh","chnk","juv","sum"
"103",103,9431,3592.58377993107,0.380933493789743,"lemh","chnk","juv","sum"
"104",104,9800,3520.44928689007,0.359229519070415,"lemh","chnk","juv","sum"
"105",105,8865,3075.44544414291,0.346919959858196,"lemh","chnk","juv","sum"
