"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,15225,1394.66053278558,0.0916033190663763,"lemh","chnk","juv","win"
"2",2,15950,1238.27323221235,0.0776346854051629,"lemh","chnk","juv","win"
"3",3,15508,1478.26647983259,0.0953228320758696,"lemh","chnk","juv","win"
"4",4,18448,2011.93004880843,0.109059521292738,"lemh","chnk","juv","win"
"5",5,17986,2081.0430031186,0.115703491777972,"lemh","chnk","juv","win"
"6",6,16478,1834.0590657331,0.111303499558994,"lemh","chnk","juv","win"
"7",7,17574,3124.63303176966,0.177798624773509,"lemh","chnk","juv","win"
"8",8,22023,3897.13903713878,0.176957682293002,"lemh","chnk","juv","win"
"9",9,15836,1644.51922911406,0.103846882363858,"lemh","chnk","juv","win"
"10",10,16366,2268.14516670315,0.138588852908661,"lemh","chnk","juv","win"
"11",11,16193,1884.48403436621,0.116376461086038,"lemh","chnk","juv","win"
"12",12,16256,2034.87992561207,0.125177160778301,"lemh","chnk","juv","win"
"13",13,15294,1807.27484238148,0.118168879454785,"lemh","chnk","juv","win"
"14",14,15102,1586.73066788859,0.105067584948258,"lemh","chnk","juv","win"
"15",15,15857,2505.76326596737,0.158022530489208,"lemh","chnk","juv","win"
"16",16,14735,1410.22702998854,0.0957059402774715,"lemh","chnk","juv","win"
"17",17,18320,1986.08811846748,0.108410923497133,"lemh","chnk","juv","win"
"18",18,16331,1735.37367204879,0.106262548040463,"lemh","chnk","juv","win"
"19",19,20240,3131.26350032468,0.154706694680073,"lemh","chnk","juv","win"
"20",20,17488,1497.21655098209,0.0856139381851608,"lemh","chnk","juv","win"
"21",21,17264,746.968612097902,0.0432674126562733,"lemh","chnk","juv","win"
"22",22,18017,1140.47814599139,0.0633001135589384,"lemh","chnk","juv","win"
"23",23,15681,1105.30488354363,0.0704868875418427,"lemh","chnk","juv","win"
"24",24,16898,2199.17589586321,0.13014415290941,"lemh","chnk","juv","win"
"25",25,17397,1445.50201752863,0.08308915430986,"lemh","chnk","juv","win"
"26",26,17591,1641.74856154964,0.0933288932721074,"lemh","chnk","juv","win"
"27",27,14890,480.876458242186,0.0322952624742906,"lemh","chnk","juv","win"
"28",28,16218,1014.21566817618,0.0625364205312729,"lemh","chnk","juv","win"
"29",29,15993,966.095811679261,0.0604074164746615,"lemh","chnk","juv","win"
"30",30,15833,649.40676089027,0.0410160273410137,"lemh","chnk","juv","win"
"31",31,15893,455.41657865548,0.0286551675992878,"lemh","chnk","juv","win"
"32",32,16939,859.441155144479,0.0507374198680252,"lemh","chnk","juv","win"
"33",33,16713,797.611183991889,0.0477239983241721,"lemh","chnk","juv","win"
"34",34,21741,1583.55832547869,0.0728374189539897,"lemh","chnk","juv","win"
"35",35,19638,1468.13768808707,0.074760041149153,"lemh","chnk","juv","win"
"36",36,14333,267.82126402529,0.0186856390166252,"lemh","chnk","juv","win"
"37",37,14790,471.702493715566,0.0318933396697475,"lemh","chnk","juv","win"
"38",38,15013,603.938741010148,0.0402277187111269,"lemh","chnk","juv","win"
"39",39,17890,1417.26162936375,0.0792208848163083,"lemh","chnk","juv","win"
"40",40,16910,965.232586648315,0.0570805787491612,"lemh","chnk","juv","win"
"41",41,16921,1385.52167438495,0.0818817844326544,"lemh","chnk","juv","win"
"42",42,14895,808.040795059293,0.0542491302490294,"lemh","chnk","juv","win"
"43",43,14775,302.797319890698,0.0204938964393028,"lemh","chnk","juv","win"
"44",44,14410,721.864728768211,0.0500947070623325,"lemh","chnk","juv","win"
"45",45,14604,880.184106733417,0.060270070304945,"lemh","chnk","juv","win"
"46",46,13949,335.199733130168,0.0240303773123642,"lemh","chnk","juv","win"
"47",47,13789,654.052649222489,0.047432928364819,"lemh","chnk","juv","win"
"48",48,14615,589.849747594446,0.040359202709165,"lemh","chnk","juv","win"
"49",49,14146,626.786144598038,0.0443083659407633,"lemh","chnk","juv","win"
"50",50,15519,1354.46356553398,0.087277760521553,"lemh","chnk","juv","win"
"51",51,17006,1453.39526212215,0.0854636752982567,"lemh","chnk","juv","win"
"52",52,16182,732.077091818908,0.0452402108403725,"lemh","chnk","juv","win"
"53",53,15226,467.344892952591,0.0306938718608033,"lemh","chnk","juv","win"
"54",54,17079,1338.1821813609,0.0783524902723168,"lemh","chnk","juv","win"
"55",55,14344,1123.48355348513,0.0783242856584725,"lemh","chnk","juv","win"
"56",56,12190,2879.09028816561,0.236184601162068,"lemh","chnk","juv","win"
"57",57,10628,2443.76315625524,0.229936315040952,"lemh","chnk","juv","win"
"58",58,12502,2543.36938018627,0.203437000494822,"lemh","chnk","juv","win"
"59",59,16563,3838.2346716295,0.231735474951971,"lemh","chnk","juv","win"
"60",60,14047,1223.78356831591,0.0871206356030403,"lemh","chnk","juv","win"
"61",61,19028,3313.76945281425,0.174152273114055,"lemh","chnk","juv","win"
"62",62,15516,1598.4651485401,0.103020440096681,"lemh","chnk","juv","win"
"63",63,16185,1459.77782520396,0.0901932545692899,"lemh","chnk","juv","win"
"64",64,17963,2179.80358618498,0.121349640159493,"lemh","chnk","juv","win"
"65",65,15574,1344.24646408335,0.0863135009684955,"lemh","chnk","juv","win"
"66",66,13732,1110.29887540382,0.0808548554765383,"lemh","chnk","juv","win"
"67",67,15519,1955.18569739535,0.125986577575575,"lemh","chnk","juv","win"
"68",68,15689,1939.37182728737,0.123613476148089,"lemh","chnk","juv","win"
"69",69,17850,1850.18587299483,0.103651869635565,"lemh","chnk","juv","win"
"70",70,12648,837.39341913932,0.0662075758332796,"lemh","chnk","juv","win"
"71",71,17412,2268.29099602753,0.130271708937947,"lemh","chnk","juv","win"
"72",72,26932,6215.2123005006,0.230774257407567,"lemh","chnk","juv","win"
"73",73,13596,1572.47529467882,0.115657200255871,"lemh","chnk","juv","win"
"74",74,13482,1741.46790251369,0.129169848873586,"lemh","chnk","juv","win"
"75",75,25648,5026.42500447703,0.195977269357339,"lemh","chnk","juv","win"
"76",76,14126,2454.84032740825,0.17378170235086,"lemh","chnk","juv","win"
"77",77,11952,1078.51610502915,0.0902372912507656,"lemh","chnk","juv","win"
"78",78,14295,2705.72412662569,0.189277658385847,"lemh","chnk","juv","win"
"79",79,18562,2517.30432668119,0.135616007255748,"lemh","chnk","juv","win"
"80",80,23162,4445.62412756582,0.19193610774397,"lemh","chnk","juv","win"
"81",81,21121,2682.13980039768,0.126989242952402,"lemh","chnk","juv","win"
"82",82,12421,873.503191860858,0.0703247075002704,"lemh","chnk","juv","win"
"83",83,10925,848.476786809973,0.0776637791130411,"lemh","chnk","juv","win"
"84",84,13571,1881.96568399947,0.138675534890537,"lemh","chnk","juv","win"
"85",85,12320,2003.03696151706,0.162584168954307,"lemh","chnk","juv","win"
"86",86,14547,1815.62120077061,0.124810696416485,"lemh","chnk","juv","win"
"87",87,18934,3265.0010684462,0.172441167658509,"lemh","chnk","juv","win"
"88",88,17823,2367.93484062684,0.132858376290571,"lemh","chnk","juv","win"
"89",89,18204,3006.66202553641,0.165164910214041,"lemh","chnk","juv","win"
"90",90,13309,2927.21116235282,0.219942231749404,"lemh","chnk","juv","win"
"91",91,12402,2313.73547918862,0.186561480340963,"lemh","chnk","juv","win"
