"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,11553,7298.39573167823,0.631731648202046,"lemh","chnk","spw","sum"
"2",2,11250,7352.15349302953,0.653524754935958,"lemh","chnk","spw","sum"
"3",3,10241,6021.8697006338,0.588015789535573,"lemh","chnk","spw","sum"
"4",4,9825,5689.49992169673,0.57908396149585,"lemh","chnk","spw","sum"
"5",5,11763,6173.14730313426,0.524793615840709,"lemh","chnk","spw","sum"
"6",6,10899,6386.72050332325,0.585991421536219,"lemh","chnk","spw","sum"
"7",7,11235,5912.59225034871,0.526265442843677,"lemh","chnk","spw","sum"
"8",8,10003,5568.50871281163,0.556683866121326,"lemh","chnk","spw","sum"
"9",9,11546,6878.36136394739,0.595735437722795,"lemh","chnk","spw","sum"
"10",10,10995,6108.26947682444,0.555549747778485,"lemh","chnk","spw","sum"
"11",11,10595,5999.20628529822,0.566229946701106,"lemh","chnk","spw","sum"
"12",12,9963,5351.56657484942,0.537144090620237,"lemh","chnk","spw","sum"
"13",13,11055,6618.06043118169,0.59864861430861,"lemh","chnk","spw","sum"
"14",14,9599,5995.57026974298,0.624603632643294,"lemh","chnk","spw","sum"
"15",15,11533,7084.24365512119,0.614258532482545,"lemh","chnk","spw","sum"
"16",16,10930,6731.22327215038,0.615848423801499,"lemh","chnk","spw","sum"
"17",17,12944,7864.27101157606,0.607561110288632,"lemh","chnk","spw","sum"
"18",18,12593,6872.15658597834,0.545712426425661,"lemh","chnk","spw","sum"
"19",19,14345,7879.13233998889,0.549259835481972,"lemh","chnk","spw","sum"
"20",20,13287,8076.14690072555,0.607823203185486,"lemh","chnk","spw","sum"
"21",21,13330,10224.2375789097,0.767009570810932,"lemh","chnk","spw","sum"
"22",22,13267,9518.32483671268,0.717443644886763,"lemh","chnk","spw","sum"
"23",23,11697,8548.9954181388,0.730870771833701,"lemh","chnk","spw","sum"
"24",24,11904,8411.63919563778,0.706622916300217,"lemh","chnk","spw","sum"
"25",25,12398,9570.65506768599,0.771951529898854,"lemh","chnk","spw","sum"
"26",26,12505,9738.80236099474,0.778792671810855,"lemh","chnk","spw","sum"
"27",27,11024,8503.65732402168,0.771376752904724,"lemh","chnk","spw","sum"
"28",28,12223,9499.1052289661,0.777150063729535,"lemh","chnk","spw","sum"
"29",29,11880,9502.94688783027,0.799911354194467,"lemh","chnk","spw","sum"
"30",30,11731,8721.56470258161,0.743463021275391,"lemh","chnk","spw","sum"
"31",31,11751,8761.97546781041,0.745636581381194,"lemh","chnk","spw","sum"
"32",32,12540,9144.81068079919,0.729251250462455,"lemh","chnk","spw","sum"
"33",33,12153,9309.46722943708,0.766022153331448,"lemh","chnk","spw","sum"
"34",34,14874,10763.1887738174,0.723624362902876,"lemh","chnk","spw","sum"
"35",35,13502,10350.3726327345,0.766580701580098,"lemh","chnk","spw","sum"
"36",36,9993,6766.29403836094,0.677103376199433,"lemh","chnk","spw","sum"
