"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,11553,9268.21944427583,0.802234869235336,"lemh","sthd","juv","sum"
"2",2,11250,9213.2265069019,0.818953467280169,"lemh","sthd","juv","sum"
"3",3,10241,7431.27491937112,0.725639578104787,"lemh","sthd","juv","sum"
"4",4,9825,7161.13919266639,0.728869129024569,"lemh","sthd","juv","sum"
"5",5,11763,7933.85142863961,0.674475170334065,"lemh","sthd","juv","sum"
"6",6,10899,7840.75886456715,0.719401675802106,"lemh","sthd","juv","sum"
"7",7,11235,7889.2106017177,0.702199430504468,"lemh","sthd","juv","sum"
"8",8,10003,7198.00207449566,0.719584332149921,"lemh","sthd","juv","sum"
"9",9,11546,8546.6477850466,0.740225860475195,"lemh","sthd","juv","sum"
"10",10,10995,8181.71672646049,0.744130670892269,"lemh","sthd","juv","sum"
"11",11,10595,7451.86019518785,0.703337441735522,"lemh","sthd","juv","sum"
"12",12,9963,7143.96584993415,0.717049668767856,"lemh","sthd","juv","sum"
"13",13,11055,7772.76448508305,0.703099455909819,"lemh","sthd","juv","sum"
"14",14,9599,7195.6364067439,0.749623544821742,"lemh","sthd","juv","sum"
"15",15,11533,8843.54386956338,0.766803422315389,"lemh","sthd","juv","sum"
"16",16,10930,8378.13137165643,0.766526200517514,"lemh","sthd","juv","sum"
"17",17,12944,9529.05730363401,0.736175626053307,"lemh","sthd","juv","sum"
"18",18,12593,9387.04162005847,0.745417423970338,"lemh","sthd","juv","sum"
"19",19,14345,10310.1884193742,0.718730457955676,"lemh","sthd","juv","sum"
"20",20,13287,9838.79785101954,0.740483017311623,"lemh","sthd","juv","sum"
"21",21,13330,11199.3503158325,0.840161314015944,"lemh","sthd","juv","sum"
"22",22,13267,10797.4109706441,0.813854750180455,"lemh","sthd","juv","sum"
"23",23,11697,9929.56397550926,0.848898347910512,"lemh","sthd","juv","sum"
"24",24,11904,9429.84968971275,0.792158072052482,"lemh","sthd","juv","sum"
"25",25,12398,10252.4751746329,0.826945892453045,"lemh","sthd","juv","sum"
"26",26,12505,10464.1365508148,0.836796205582954,"lemh","sthd","juv","sum"
"27",27,11024,9185.52961152326,0.833230189724534,"lemh","sthd","juv","sum"
"28",28,12223,10117.2006298462,0.827718287641839,"lemh","sthd","juv","sum"
"29",29,11880,9630.59849892464,0.81065643930342,"lemh","sthd","juv","sum"
"30",30,11731,9994.27603109647,0.851954311746353,"lemh","sthd","juv","sum"
"31",31,11751,9957.21156701352,0.847350146116375,"lemh","sthd","juv","sum"
"32",32,12540,10308.500084429,0.822049448519063,"lemh","sthd","juv","sum"
"33",33,12153,10167.1698884433,0.836597538751198,"lemh","sthd","juv","sum"
"34",34,14874,11608.5312585849,0.780457930522047,"lemh","sthd","juv","sum"
"35",35,13502,10973.80807376,0.812754264091247,"lemh","sthd","juv","sum"
"36",36,9993,8888.68743183836,0.889491387154845,"lemh","sthd","juv","sum"
"37",37,11794,9584.51754391054,0.812660466670386,"lemh","sthd","juv","sum"
"38",38,12360,9812.75700868433,0.793912379343393,"lemh","sthd","juv","sum"
"39",39,14354,10993.110769473,0.765856957605756,"lemh","sthd","juv","sum"
"40",40,14077,10802.7924435982,0.767407291581882,"lemh","sthd","juv","sum"
"41",41,14265,11415.1536611076,0.800221076838952,"lemh","sthd","juv","sum"
"42",42,13099,10886.6928408258,0.831108698436962,"lemh","sthd","juv","sum"
"43",43,12563,10717.7629493657,0.853121304574199,"lemh","sthd","juv","sum"
"44",44,12323,10376.1058534086,0.84201134897416,"lemh","sthd","juv","sum"
"45",45,12674,10613.416024378,0.837416445035351,"lemh","sthd","juv","sum"
"46",46,12346,10758.8167892592,0.871441502450932,"lemh","sthd","juv","sum"
"47",47,12157,10346.3425280992,0.851060502434745,"lemh","sthd","juv","sum"
"48",48,12787,10657.947282406,0.833498653507941,"lemh","sthd","juv","sum"
"49",49,12469,10596.0860524047,0.849794374240494,"lemh","sthd","juv","sum"
"50",50,13604,11116.0614967472,0.817117134427168,"lemh","sthd","juv","sum"
"51",51,14952,12036.6379800765,0.805018591497892,"lemh","sthd","juv","sum"
"52",52,14157,11862.0975365406,0.837896272977367,"lemh","sthd","juv","sum"
"53",53,12863,11227.4711024249,0.872850120689178,"lemh","sthd","juv","sum"
"54",54,13762,11530.2317789034,0.837831113130606,"lemh","sthd","juv","sum"
"55",55,12823,10574.036116919,0.824614841840366,"lemh","sthd","juv","sum"
