"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,15225,13484.0165219875,0.885649689457307,"lemh","sthd","juv","win"
"2",2,15950,14009.627165054,0.878346530724387,"lemh","sthd","juv","win"
"3",3,15508,13530.6616933201,0.872495595390775,"lemh","sthd","juv","win"
"4",4,18448,14996.1400801204,0.812887038167846,"lemh","sthd","juv","win"
"5",5,17986,15017.7891561249,0.834971041706045,"lemh","sthd","juv","win"
"6",6,16478,14318.4761979235,0.868945029610604,"lemh","sthd","juv","win"
"7",7,17574,14275.6724704681,0.812317768889729,"lemh","sthd","juv","win"
"8",8,22023,16948.5889195814,0.769585838422621,"lemh","sthd","juv","win"
"9",9,15836,14166.2357249805,0.894558962173559,"lemh","sthd","juv","win"
"10",10,16366,13981.0874753972,0.854276394683928,"lemh","sthd","juv","win"
"11",11,16193,13965.4519741824,0.862437594897943,"lemh","sthd","juv","win"
"12",12,16256,13876.2550197341,0.853608207414748,"lemh","sthd","juv","win"
"13",13,15294,13444.0313831829,0.879039583051056,"lemh","sthd","juv","win"
"14",14,15102,12837.1021859669,0.850026631304921,"lemh","sthd","juv","win"
"15",15,15857,13451.5268886862,0.848302130837247,"lemh","sthd","juv","win"
"16",16,14735,13106.9649562691,0.889512382508933,"lemh","sthd","juv","win"
"17",17,18320,15546.2665055343,0.848595333271523,"lemh","sthd","juv","win"
"18",18,16331,14251.8640236398,0.872687773170034,"lemh","sthd","juv","win"
"19",19,20240,16487.4572423394,0.814597689838902,"lemh","sthd","juv","win"
"20",20,17488,15310.6258386802,0.875493243291411,"lemh","sthd","juv","win"
"21",21,17264,15255.5248744879,0.883661079384146,"lemh","sthd","juv","win"
"22",22,18017,15432.7556755897,0.85656633599321,"lemh","sthd","juv","win"
"23",23,15681,13779.1139200125,0.878713979976563,"lemh","sthd","juv","win"
"24",24,16898,13794.717897437,0.816352106606524,"lemh","sthd","juv","win"
"25",25,17397,15033.4267961276,0.864139035243293,"lemh","sthd","juv","win"
"26",26,17591,14709.3178055794,0.836184287736877,"lemh","sthd","juv","win"
"27",27,14890,13268.9425930837,0.891131134525434,"lemh","sthd","juv","win"
"28",28,16218,14181.9177963533,0.874455407346981,"lemh","sthd","juv","win"
"29",29,15993,13954.3061122838,0.872525862082401,"lemh","sthd","juv","win"
"30",30,15833,14038.2631126987,0.8866458101875,"lemh","sthd","juv","win"
"31",31,15893,14105.2400516253,0.887512744706808,"lemh","sthd","juv","win"
"32",32,16939,14781.0774526387,0.872606260855933,"lemh","sthd","juv","win"
"33",33,16713,14510.6087554744,0.868222865761649,"lemh","sthd","juv","win"
"34",34,21741,17800.1803214466,0.818737883328578,"lemh","sthd","juv","win"
"35",35,19638,16051.9297446888,0.817391269207088,"lemh","sthd","juv","win"
"36",36,14333,12667.863676867,0.883824996641804,"lemh","sthd","juv","win"
"37",37,14790,13222.7565890085,0.89403357599787,"lemh","sthd","juv","win"
"38",38,15013,13433.3801571284,0.894783198369975,"lemh","sthd","juv","win"
"39",39,17890,15261.9865899766,0.853101542201039,"lemh","sthd","juv","win"
"40",40,16910,14833.2477596779,0.877187921920635,"lemh","sthd","juv","win"
"41",41,16921,14660.9685718939,0.866436296430109,"lemh","sthd","juv","win"
"42",42,14895,13372.4165114956,0.897778886303833,"lemh","sthd","juv","win"
"43",43,14775,13316.3191761989,0.901273717509233,"lemh","sthd","juv","win"
"44",44,14410,12823.1576854927,0.889879089902335,"lemh","sthd","juv","win"
"45",45,14604,12851.8765326785,0.880024413357881,"lemh","sthd","juv","win"
"46",46,13949,12527.5905318586,0.898099543469684,"lemh","sthd","juv","win"
"47",47,13789,12180.6477358765,0.883359760379759,"lemh","sthd","juv","win"
"48",48,14615,12767.3004761715,0.873575126662439,"lemh","sthd","juv","win"
"49",49,14146,12472.7565982649,0.881716145784314,"lemh","sthd","juv","win"
"50",50,15519,13296.9809054579,0.8568194410373,"lemh","sthd","juv","win"
"51",51,17006,14302.9460798493,0.8410529271933,"lemh","sthd","juv","win"
"52",52,16182,14018.2108237157,0.866284193778004,"lemh","sthd","juv","win"
"53",53,15226,13338.4200619515,0.87602916471506,"lemh","sthd","juv","win"
"54",54,17079,14076.6481142533,0.824207981395474,"lemh","sthd","juv","win"
"55",55,14344,11841.5277654743,0.825538745501553,"lemh","sthd","juv","win"
"56",56,12190,9313.37841993431,0.764017917960156,"lemh","sthd","juv","win"
"57",57,10628,8199.92924506217,0.771540199949395,"lemh","sthd","juv","win"
