"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,7947,4876.55061732978,0.613634153432714,"lemh","sthd","spw","spr"
"2",2,8565,5317.76023592381,0.620871014118366,"lemh","sthd","spw","spr"
"3",3,7509,4319.89072999172,0.575295076573674,"lemh","sthd","spw","spr"
"4",4,12147,6885.63365274691,0.566858784288047,"lemh","sthd","spw","spr"
"5",5,11010,6394.60922607488,0.580800111360117,"lemh","sthd","spw","spr"
"6",6,9938,6105.59192244336,0.614368275552763,"lemh","sthd","spw","spr"
"7",7,12106,6897.32360082027,0.569744226071392,"lemh","sthd","spw","spr"
"8",8,16561,8784.16827625735,0.530412914453073,"lemh","sthd","spw","spr"
"9",9,9985,6866.58175901044,0.687689710466744,"lemh","sthd","spw","spr"
"10",10,11284,7510.81536530517,0.665616391820735,"lemh","sthd","spw","spr"
"11",11,9782,5966.43600580748,0.609940299101153,"lemh","sthd","spw","spr"
"12",12,10515,6496.85279089585,0.617865220246871,"lemh","sthd","spw","spr"
"13",13,9436,6108.59727112169,0.647371478499543,"lemh","sthd","spw","spr"
"14",14,8645,5112.97220368334,0.591436923502989,"lemh","sthd","spw","spr"
"15",15,10824,6684.96521962807,0.617605803735039,"lemh","sthd","spw","spr"
"16",16,9172,6181.68849904276,0.673973887815391,"lemh","sthd","spw","spr"
"17",17,11980,7738.25664148759,0.645931272244373,"lemh","sthd","spw","spr"
"18",18,9314,5829.98120420426,0.625937427979843,"lemh","sthd","spw","spr"
"19",19,14715,8967.62872689241,0.609420912462957,"lemh","sthd","spw","spr"
"20",20,10619,6974.96780832112,0.65683847898306,"lemh","sthd","spw","spr"
"21",21,12087,9102.57544481033,0.753088065261051,"lemh","sthd","spw","spr"
"22",22,12545,8587.49297059234,0.684535111246899,"lemh","sthd","spw","spr"
"23",23,10878,8125.26341144019,0.746944604839142,"lemh","sthd","spw","spr"
"24",24,13091,8995.35796743468,0.687140628480229,"lemh","sthd","spw","spr"
"25",25,13706,9967.37623351184,0.727227216803724,"lemh","sthd","spw","spr"
"26",26,13438,9884.57957224548,0.735569249311317,"lemh","sthd","spw","spr"
"27",27,10393,8107.54093259387,0.780096308341563,"lemh","sthd","spw","spr"
"28",28,11912,9424.26548247971,0.791157276903938,"lemh","sthd","spw","spr"
"29",29,12218,9617.4226507491,0.787151960283933,"lemh","sthd","spw","spr"
"30",30,10240,7778.60532080848,0.759629425860203,"lemh","sthd","spw","spr"
"31",31,10385,7729.3859782042,0.744283676283505,"lemh","sthd","spw","spr"
"32",32,11596,8534.94921261445,0.736025285668717,"lemh","sthd","spw","spr"
"33",33,11659,8757.70775695611,0.751154280552029,"lemh","sthd","spw","spr"
"34",34,16839,12325.8651770521,0.731983204290759,"lemh","sthd","spw","spr"
"35",35,15022,10648.4407493509,0.708856393912324,"lemh","sthd","spw","spr"
"36",36,7317,4935.79462199286,0.674565343992464,"lemh","sthd","spw","spr"
"37",37,9289,6981.2625816213,0.751562340577166,"lemh","sthd","spw","spr"
"38",38,10532,8454.04345300607,0.802700669673953,"lemh","sthd","spw","spr"
"39",39,13720,10943.7794444559,0.797651563006987,"lemh","sthd","spw","spr"
"40",40,12841,10164.1440093033,0.79153835443527,"lemh","sthd","spw","spr"
"41",41,13146,10403.7235079729,0.791398410769276,"lemh","sthd","spw","spr"
"42",42,10636,8547.09267393872,0.803600289012667,"lemh","sthd","spw","spr"
"43",43,9648,7226.78707242757,0.74904509457168,"lemh","sthd","spw","spr"
"44",44,9036,6653.65552812442,0.73634966004033,"lemh","sthd","spw","spr"
"45",45,10616,8352.77693928778,0.786810186443838,"lemh","sthd","spw","spr"
"46",46,9316,7136.04182216153,0.765998478119528,"lemh","sthd","spw","spr"
"47",47,9742,7635.67571552284,0.783789336432236,"lemh","sthd","spw","spr"
"48",48,11077,8647.17695699446,0.780642498600204,"lemh","sthd","spw","spr"
"49",49,10701,8796.64253943786,0.822039299078391,"lemh","sthd","spw","spr"
"50",50,12331,9782.68096389808,0.793340439858736,"lemh","sthd","spw","spr"
"51",51,13859,11164.1876520491,0.805555065448382,"lemh","sthd","spw","spr"
"52",52,11192,8258.75557990558,0.7379159739015,"lemh","sthd","spw","spr"
"53",53,9740,6818.30460155196,0.700031273259955,"lemh","sthd","spw","spr"
"54",54,13306,9386.8592593912,0.705460638763806,"lemh","sthd","spw","spr"
"55",55,12989,10198.3485035198,0.785152706406943,"lemh","sthd","spw","spr"
"56",56,11294,8711.49529318069,0.77133834719149,"lemh","sthd","spw","spr"
"57",57,10221,8475.42866459489,0.829217167067302,"lemh","sthd","spw","spr"
"58",58,11527,9092.36343233008,0.788788360573443,"lemh","sthd","spw","spr"
"59",59,15254,10026.7804799071,0.657321389793304,"lemh","sthd","spw","spr"
"60",60,12295,9514.38282855041,0.773841628999627,"lemh","sthd","spw","spr"
"61",61,17360,12181.4049578099,0.701693833975224,"lemh","sthd","spw","spr"
"62",62,12883,9216.60952027515,0.715408640865881,"lemh","sthd","spw","spr"
"63",63,13585,9485.97505255695,0.698268314505481,"lemh","sthd","spw","spr"
"64",64,15254,9649.29297462129,0.632574601718978,"lemh","sthd","spw","spr"
"65",65,12988,9373.52528404817,0.721706597170324,"lemh","sthd","spw","spr"
"66",66,11541,8722.20287236106,0.755757982181878,"lemh","sthd","spw","spr"
"67",67,13980,10437.6350953795,0.746611952459195,"lemh","sthd","spw","spr"
"68",68,13148,8372.08838242665,0.636757558748604,"lemh","sthd","spw","spr"
"69",69,15771,10307.8732944001,0.653596683431618,"lemh","sthd","spw","spr"
"70",70,10341,7978.45923006907,0.771536527421823,"lemh","sthd","spw","spr"
"71",71,15203,9764.73978911107,0.642290323561868,"lemh","sthd","spw","spr"
"72",72,24946,12927.1521950049,0.518205411489011,"lemh","sthd","spw","spr"
"73",73,11746,8384.42432160256,0.71381102686894,"lemh","sthd","spw","spr"
"74",74,12164,9700.50706505775,0.797476739975152,"lemh","sthd","spw","spr"
"75",75,24544,16638.9648499982,0.67792392641779,"lemh","sthd","spw","spr"
"76",76,13083,10702.3225045834,0.818032752777146,"lemh","sthd","spw","spr"
"77",77,10486,8290.82961283473,0.790657029642831,"lemh","sthd","spw","spr"
"78",78,13390,10113.5718444837,0.755307830058531,"lemh","sthd","spw","spr"
"79",79,17520,12188.4790836506,0.695689445413849,"lemh","sthd","spw","spr"
"80",80,21734,12054.9870223581,0.554660302859945,"lemh","sthd","spw","spr"
"81",81,19034,12786.8283931022,0.671788819643909,"lemh","sthd","spw","spr"
"82",82,9312,6410.91060414352,0.688456894774862,"lemh","sthd","spw","spr"
"83",83,9030,6731.17597800214,0.745423696345752,"lemh","sthd","spw","spr"
"84",84,11773,7894.93879308185,0.670597026508269,"lemh","sthd","spw","spr"
"85",85,11391,9029.93956675287,0.792725798152302,"lemh","sthd","spw","spr"
"86",86,13383,10377.9873889098,0.775460463940058,"lemh","sthd","spw","spr"
"87",87,17873,13377.6082703054,0.748481411643565,"lemh","sthd","spw","spr"
"88",88,16764,12305.868599986,0.734065175374968,"lemh","sthd","spw","spr"
"89",89,17888,13335.5998804757,0.745505360044481,"lemh","sthd","spw","spr"
"90",90,13004,10759.2376636587,0.827379088254282,"lemh","sthd","spw","spr"
"91",91,11832,9197.4379976904,0.777335868635091,"lemh","sthd","spw","spr"
"92",92,12339,8986.81680946238,0.728326186033097,"lemh","sthd","spw","spr"
"93",93,12343,9388.18324599438,0.760607894838725,"lemh","sthd","spw","spr"
"94",94,12997,9628.97868571291,0.740861636201655,"lemh","sthd","spw","spr"
"95",95,11549,9358.60699796397,0.81033916338765,"lemh","sthd","spw","spr"
"96",96,12967,10011.6599140058,0.772087600370616,"lemh","sthd","spw","spr"
"97",97,13075,9839.55881172066,0.752547519060854,"lemh","sthd","spw","spr"
"98",98,15075,11251.6796743986,0.746380077903723,"lemh","sthd","spw","spr"
"99",99,31047,20465.3660518352,0.65917370605325,"lemh","sthd","spw","spr"
"100",100,17887,11931.7551214166,0.667062957534335,"lemh","sthd","spw","spr"
"101",101,12813,8149.50937275402,0.636034447260909,"lemh","sthd","spw","spr"
"102",102,9722,6526.21796083025,0.671283476736294,"lemh","sthd","spw","spr"
"103",103,9216,6129.27446087124,0.665068843410508,"lemh","sthd","spw","spr"
"104",104,9750,6709.6076070242,0.688164882771713,"lemh","sthd","spw","spr"
"105",105,8817,6295.77926499955,0.714050047068113,"lemh","sthd","spw","spr"
