"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,13381.376508,1060.04735043936,0.079218109572331,"pahs","chnk","juv","spr"
"2",2,11129.686497,643.978056844557,0.057861293489097,"pahs","chnk","juv","spr"
"3",3,12026.014641,1409.8425691782,0.117232733475283,"pahs","chnk","juv","spr"
"4",4,12882.208689,1421.70284865983,0.110361730894315,"pahs","chnk","juv","spr"
"5",5,13455.791811,1912.68743313523,0.142146033470258,"pahs","chnk","juv","spr"
"6",6,15342.094323,1782.71826794336,0.116197843033126,"pahs","chnk","juv","spr"
"7",7,14566.168467,1004.47383945715,0.068959372654024,"pahs","chnk","juv","spr"
"8",8,17852.147577,1430.52409107273,0.0801317648144339,"pahs","chnk","juv","spr"
"9",9,15173.196669,1260.46984209982,0.0830721350020496,"pahs","chnk","juv","spr"
"10",10,17045.285022,2838.97468316788,0.166554837863003,"pahs","chnk","juv","spr"
"11",11,19900.658727,3605.18800567277,0.181159229708385,"pahs","chnk","juv","spr"
"12",12,22899.010149,4060.36571949534,0.177316211184467,"pahs","chnk","juv","spr"
"13",13,26877.302415,4519.93637404637,0.168169271761583,"pahs","chnk","juv","spr"
"14",14,22735.965384,4973.58196015027,0.218753937919449,"pahs","chnk","juv","spr"
"15",15,18867.205755,3593.30014877857,0.190452163157563,"pahs","chnk","juv","spr"
"16",16,12990.069072,2156.97643907694,0.166048111609067,"pahs","chnk","juv","spr"
"17",17,11786.882319,1139.4336698046,0.0966696399409937,"pahs","chnk","juv","spr"
"18",18,11591.228601,2122.28625321644,0.183094159063807,"pahs","chnk","juv","spr"
"19",19,12901.43961,3033.32768352493,0.235115442556796,"pahs","chnk","juv","spr"
"20",20,14996.773872,3667.33205960901,0.244541398764181,"pahs","chnk","juv","spr"
"21",21,22597.168302,5799.52401558915,0.256648263980751,"pahs","chnk","juv","spr"
"22",22,17985.09177,6658.79355096351,0.370239620465585,"pahs","chnk","juv","spr"
"23",23,40546.306611,10075.7804345242,0.248500573213509,"pahs","chnk","juv","spr"
"24",24,6336.170406,2204.33184821857,0.347896553749753,"pahs","chnk","juv","spr"
"25",25,6672.29346,2206.93478690274,0.330761049425236,"pahs","chnk","juv","spr"
"26",26,9460.777005,1709.56358307716,0.180700124543012,"pahs","chnk","juv","spr"
"27",27,35055.460602,8185.65540959284,0.233505858118031,"pahs","chnk","juv","spr"
"28",28,33864.815754,8262.42116557248,0.243982463261934,"pahs","chnk","juv","spr"
"29",29,29067.955155,7833.18392009265,0.269478326849051,"pahs","chnk","juv","spr"
"30",30,24077.113092,7589.75128967268,0.315226799021619,"pahs","chnk","juv","spr"
"31",31,9316.963161,2996.38849714492,0.321605704065412,"pahs","chnk","juv","spr"
"32",32,9255.089763,2832.48998189019,0.306046732600468,"pahs","chnk","juv","spr"
"33",33,7421.463252,2506.63397553097,0.337754684004595,"pahs","chnk","juv","spr"
"34",34,14643.928278,4657.63710303605,0.318059267610136,"pahs","chnk","juv","spr"
"35",35,11879.692416,3699.21184575721,0.311389530656111,"pahs","chnk","juv","spr"
"36",36,8397.223461,2693.67634474067,0.320781786652595,"pahs","chnk","juv","spr"
"37",37,5016.762,1341.66918844823,0.267437280948992,"pahs","chnk","juv","spr"
"38",38,19871.394282,3561.28106452036,0.179216466342588,"pahs","chnk","juv","spr"
"39",39,9661.447485,1196.12427124882,0.1238038371689,"pahs","chnk","juv","spr"
"40",40,6659.751555,687.022864449304,0.103160434556076,"pahs","chnk","juv","spr"
"41",41,6011.75313,679.987262664246,0.113109645050286,"pahs","chnk","juv","spr"
"42",42,6746.708763,523.921166581102,0.0776558148551434,"pahs","chnk","juv","spr"
"43",43,4964.922126,307.434880968649,0.0619213903393757,"pahs","chnk","juv","spr"
"44",44,5978.30805,510.998801075155,0.0854754885163796,"pahs","chnk","juv","spr"
"45",45,4510.069038,708.874890696956,0.157176061990241,"pahs","chnk","juv","spr"
"46",46,8917.294455,748.464918258134,0.0839340813556363,"pahs","chnk","juv","spr"
"47",47,8241.703839,756.575991972873,0.0917984929757767,"pahs","chnk","juv","spr"
"48",48,6551.891172,698.26017628843,0.106573836157795,"pahs","chnk","juv","spr"
"49",49,6997.546863,1501.48180483188,0.214572597258487,"pahs","chnk","juv","spr"
