"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,13381.376508,7330.41038489528,0.547806900173,"pahs","chnk","spw","sum"
"2",2,11129.686497,6232.96799512627,0.560030868507065,"pahs","chnk","spw","sum"
"3",3,12026.014641,6750.75970850512,0.56134637367644,"pahs","chnk","spw","sum"
"4",4,12882.208689,7588.45410105167,0.589064677048073,"pahs","chnk","spw","sum"
"5",5,13455.791811,7497.35603891779,0.557184307265274,"pahs","chnk","spw","sum"
"6",6,15342.094323,9779.26975897397,0.637414263860537,"pahs","chnk","spw","sum"
"7",7,14566.168467,8816.78620042093,0.60529206567915,"pahs","chnk","spw","sum"
"8",8,17852.147577,12485.0599454073,0.699358992611767,"pahs","chnk","spw","sum"
"9",9,15173.196669,11016.2235990316,0.726031820409904,"pahs","chnk","spw","sum"
"10",10,17045.285022,13553.5142479707,0.795147410587586,"pahs","chnk","spw","sum"
"11",11,19900.658727,15864.0971910786,0.797164425997374,"pahs","chnk","spw","sum"
"12",12,22899.010149,17447.9263448059,0.761951116282981,"pahs","chnk","spw","sum"
"13",13,26877.302415,18673.6495468016,0.694773949352148,"pahs","chnk","spw","sum"
"14",14,22735.965384,14727.1673673838,0.647747615667457,"pahs","chnk","spw","sum"
"15",15,18867.205755,10747.4713899386,0.569637684005774,"pahs","chnk","spw","sum"
"16",16,12990.069072,8873.68549278565,0.683113033779998,"pahs","chnk","spw","sum"
"17",17,11786.882319,7156.06584407249,0.607121175082676,"pahs","chnk","spw","sum"
"18",18,11591.228601,7353.7982969475,0.634427854896509,"pahs","chnk","spw","sum"
"19",19,12901.43961,8082.47330744192,0.626478404873293,"pahs","chnk","spw","sum"
"20",20,14996.773872,6918.27770972624,0.46131773198522,"pahs","chnk","spw","sum"
"21",21,22597.168302,8298.13974888716,0.367220336547775,"pahs","chnk","spw","sum"
"22",22,17985.09177,5938.75823163334,0.330204499792405,"pahs","chnk","spw","sum"
"23",23,40546.306611,7930.13027143385,0.195582062443203,"pahs","chnk","spw","sum"
"24",24,6336.170406,4879.82694140077,0.770153993456338,"pahs","chnk","spw","sum"
"25",25,6672.29346,4915.6431274144,0.736724659501772,"pahs","chnk","spw","sum"
"26",26,9460.777005,5415.68857080955,0.572435918101375,"pahs","chnk","spw","sum"
"27",27,35055.460602,5477.73746923404,0.156259178318185,"pahs","chnk","spw","sum"
"28",28,33864.815754,8386.80984661414,0.247655558132588,"pahs","chnk","spw","sum"
"29",29,29067.955155,4317.75952573586,0.148540188076944,"pahs","chnk","spw","sum"
"30",30,24077.113092,7254.28060021624,0.301293621560742,"pahs","chnk","spw","sum"
"31",31,9316.963161,5203.73396998364,0.558522544316374,"pahs","chnk","spw","sum"
"32",32,9255.089763,5313.30736277532,0.57409571369225,"pahs","chnk","spw","sum"
"33",33,7421.463252,5291.59394243266,0.713012213731118,"pahs","chnk","spw","sum"
"34",34,14643.928278,6250.97229630128,0.426864443585967,"pahs","chnk","spw","sum"
"35",35,11879.692416,5309.73773204815,0.446959192722599,"pahs","chnk","spw","sum"
"36",36,8397.223461,4001.08943288215,0.476477665678992,"pahs","chnk","spw","sum"
"37",37,5016.762,3825.62407559063,0.762568380878071,"pahs","chnk","spw","sum"
"38",38,19871.394282,5302.7596987905,0.266853932015926,"pahs","chnk","spw","sum"
"39",39,9661.447485,4301.68963253358,0.445242769182592,"pahs","chnk","spw","sum"
"40",40,6659.751555,3566.27724114526,0.53549703944553,"pahs","chnk","spw","sum"
"41",41,6011.75313,3267.35596469324,0.543494700138035,"pahs","chnk","spw","sum"
"42",42,6746.708763,3106.04662194848,0.460379531866341,"pahs","chnk","spw","sum"
"43",43,4964.922126,3163.49659684673,0.63716942915989,"pahs","chnk","spw","sum"
"44",44,5978.30805,2910.72549899109,0.486881150092473,"pahs","chnk","spw","sum"
"45",45,4510.069038,2949.61289492901,0.65400615158588,"pahs","chnk","spw","sum"
"46",46,8917.294455,2911.53338061087,0.326504120201879,"pahs","chnk","spw","sum"
"47",47,8241.703839,3048.1970033613,0.369850344407808,"pahs","chnk","spw","sum"
"48",48,6551.891172,3034.75557344058,0.463187726073631,"pahs","chnk","spw","sum"
"49",49,6997.546863,2784.90340082999,0.397982815314229,"pahs","chnk","spw","sum"
