"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,13381.376508,13600.6780335495,1.01638856252333,"pahs","sthd","juv","spr"
"2",2,11129.686497,11650.8301042685,1.04682464392946,"pahs","sthd","juv","spr"
"3",3,12026.014641,11278.1533201732,0.937813037556337,"pahs","sthd","juv","spr"
"4",4,12882.208689,12041.4240175246,0.934732879137928,"pahs","sthd","juv","spr"
"5",5,13455.791811,12479.9034803384,0.927474477580438,"pahs","sthd","juv","spr"
"6",6,15342.094323,14448.3128516258,0.941743190169656,"pahs","sthd","juv","spr"
"7",7,14566.168467,14173.0088241537,0.973008712364066,"pahs","sthd","juv","spr"
"8",8,17852.147577,16455.5980975017,0.921771345801691,"pahs","sthd","juv","spr"
"9",9,15173.196669,15128.7940166239,0.997073612545545,"pahs","sthd","juv","spr"
"10",10,17045.285022,15998.338177138,0.938578507574927,"pahs","sthd","juv","spr"
"11",11,19900.658727,18398.8019745243,0.924532309554251,"pahs","sthd","juv","spr"
"12",12,22899.010149,20719.1165484745,0.904804024875253,"pahs","sthd","juv","spr"
"13",13,26877.302415,24208.5950833685,0.900707768568986,"pahs","sthd","juv","spr"
"14",14,22735.965384,19099.2107409872,0.840043975191301,"pahs","sthd","juv","spr"
"15",15,18867.205755,14485.6939625547,0.767771028241205,"pahs","sthd","juv","spr"
"16",16,12990.069072,11165.395723179,0.859533206582093,"pahs","sthd","juv","spr"
"17",17,11786.882319,10422.1482881562,0.884215860147859,"pahs","sthd","juv","spr"
"18",18,11591.228601,9383.08971807925,0.809499151562739,"pahs","sthd","juv","spr"
"19",19,12901.43961,10268.8967777915,0.795949683772655,"pahs","sthd","juv","spr"
"20",20,14996.773872,11356.3824465344,0.757255029879296,"pahs","sthd","juv","spr"
"21",21,22597.168302,13118.3367431499,0.580530116332711,"pahs","sthd","juv","spr"
"22",22,17985.09177,10543.8342980488,0.586254128301778,"pahs","sthd","juv","spr"
"23",23,40546.306611,18029.5857793489,0.444666537752111,"pahs","sthd","juv","spr"
"24",24,6336.170406,5621.74628368131,0.887246700050527,"pahs","sthd","juv","spr"
"25",25,6672.29346,5665.16275421561,0.849057792223606,"pahs","sthd","juv","spr"
"26",26,9460.777005,6360.71259919753,0.67232454541904,"pahs","sthd","juv","spr"
"27",27,35055.460602,13978.6484320969,0.398758087671495,"pahs","sthd","juv","spr"
"28",28,33864.815754,16915.1175375312,0.499489430576135,"pahs","sthd","juv","spr"
"29",29,29067.955155,14411.7345738211,0.495794578496249,"pahs","sthd","juv","spr"
"30",30,24077.113092,14592.5698312967,0.606076391946896,"pahs","sthd","juv","spr"
"31",31,9316.963161,6475.24329438494,0.694995051766411,"pahs","sthd","juv","spr"
"32",32,9255.089763,6237.51195439173,0.673954776681698,"pahs","sthd","juv","spr"
"33",33,7421.463252,6394.29901448663,0.861595455958559,"pahs","sthd","juv","spr"
"34",34,14643.928278,9702.38838281968,0.662553667201161,"pahs","sthd","juv","spr"
"35",35,11879.692416,7495.37615350141,0.630940254261665,"pahs","sthd","juv","spr"
"36",36,8397.223461,5429.31452459993,0.646560681612892,"pahs","sthd","juv","spr"
"37",37,5016.762,4160.58099841877,0.829335933898951,"pahs","sthd","juv","spr"
"38",38,19871.394282,9423.73807964109,0.474236379486333,"pahs","sthd","juv","spr"
"39",39,9661.447485,5646.28582702035,0.584414067952713,"pahs","sthd","juv","spr"
"40",40,6659.751555,4666.00737781631,0.700627844639815,"pahs","sthd","juv","spr"
"41",41,6011.75313,4256.57243569285,0.708041788085342,"pahs","sthd","juv","spr"
"42",42,6746.708763,4289.89636386733,0.63585023669523,"pahs","sthd","juv","spr"
"43",43,4964.922126,3985.12880942959,0.802656861133936,"pahs","sthd","juv","spr"
"44",44,5978.30805,3443.69593392393,0.576031864721982,"pahs","sthd","juv","spr"
"45",45,4510.069038,3243.5630984609,0.719182582601722,"pahs","sthd","juv","spr"
"46",46,8917.294455,3591.27820049311,0.402731817213846,"pahs","sthd","juv","spr"
"47",47,8241.703839,4006.39913986504,0.48611297107118,"pahs","sthd","juv","spr"
"48",48,6551.891172,3759.05204247505,0.573735421390948,"pahs","sthd","juv","spr"
"49",49,6997.546863,3874.69857773479,0.553722419241309,"pahs","sthd","juv","spr"
