"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,9490.04145,7330.48631461896,0.77243986269617,"pahs","sthd","spw","spr"
"2",2,7588.688652,6233.01850156439,0.821356467157429,"pahs","sthd","spw","spr"
"3",3,9070.305696,6750.7941126544,0.744274155570247,"pahs","sthd","spw","spr"
"4",4,10025.998857,7588.49507907173,0.756881701993568,"pahs","sthd","spw","spr"
"5",5,10765.971252,7497.41248739418,0.696399081132729,"pahs","sthd","spw","spr"
"6",6,12499.262523,9779.34252774692,0.782393562000308,"pahs","sthd","spw","spr"
"7",7,11456.612154,8816.87187457643,0.769588055880733,"pahs","sthd","spw","spr"
"8",8,15812.833824,12485.2492107181,0.789564308945595,"pahs","sthd","spw","spr"
"9",9,12958.296246,11016.3232209757,0.850136700986153,"pahs","sthd","spw","spr"
"10",10,15587.079534,13553.6007618029,0.869540745733573,"pahs","sthd","spw","spr"
"11",11,18195.795774,15864.1885463875,0.87186011227142,"pahs","sthd","spw","spr"
"12",12,21320.402373,17448.0816943026,0.818374878158901,"pahs","sthd","spw","spr"
"13",13,24303.703509,18673.8535608328,0.768354236790192,"pahs","sthd","spw","spr"
"14",14,20970.06516,14727.3339249194,0.702302725935801,"pahs","sthd","spw","spr"
"15",15,17432.411823,10747.586227668,0.616528931096489,"pahs","sthd","spw","spr"
"16",16,11796.079716,8873.75796481036,0.752263309375075,"pahs","sthd","spw","spr"
"17",17,10043.557524,7156.1449557622,0.712510974190364,"pahs","sthd","spw","spr"
"18",18,10501.75512,7353.8401822676,0.700248682076258,"pahs","sthd","spw","spr"
"19",19,11988.388926,8082.50719545782,0.67419460991366,"pahs","sthd","spw","spr"
"20",20,13486.72851,6918.32625803165,0.512972901686419,"pahs","sthd","spw","spr"
"21",21,21768.566445,8298.20014125202,0.381201038764683,"pahs","sthd","spw","spr"
"22",22,17734.25367,5938.80026089493,0.334877371859254,"pahs","sthd","spw","spr"
"23",23,40399.148259,7930.22279759077,0.196296781970499,"pahs","sthd","spw","spr"
"24",24,6113.760624,4879.84498373792,0.798174034583843,"pahs","sthd","spw","spr"
"25",25,6333.662025,4915.66504441295,0.776117359121787,"pahs","sthd","spw","spr"
"26",26,9116.292681,5415.7277981611,0.594071294951779,"pahs","sthd","spw","spr"
"27",27,34584.721101,5477.79253364773,0.158387645158409,"pahs","sthd","spw","spr"
"28",28,33659.128512,8386.91508412419,0.249172080647725,"pahs","sthd","spw","spr"
"29",29,29043.707472,4317.83583927061,0.148666827175328,"pahs","sthd","spw","spr"
"30",30,23967.580455,7254.39460475184,0.302675300010872,"pahs","sthd","spw","spr"
"31",31,9074.486331,5203.76142609958,0.57344969580511,"pahs","sthd","spw","spr"
"32",32,8915.622201,5313.34305189829,0.59595874882432,"pahs","sthd","spw","spr"
"33",33,7118.785278,5291.62199326977,0.743332153818866,"pahs","sthd","spw","spr"
"34",34,14181.550047,6251.03323677927,0.440786318566187,"pahs","sthd","spw","spr"
"35",35,11436.545106,5309.79664363991,0.464283277373183,"pahs","sthd","spw","spr"
"36",36,8289.363078,4001.1311864946,0.482682583552604,"pahs","sthd","spw","spr"
"37",37,4885.490061,3825.66074238624,0.78306591449767,"pahs","sthd","spw","spr"
"38",38,19806.176376,5302.86624557711,0.267738009846405,"pahs","sthd","spw","spr"
"39",39,9454.087989,4301.76007692004,0.455015870586905,"pahs","sthd","spw","spr"
"40",40,6246.704817,3566.35378195811,0.570917609593543,"pahs","sthd","spw","spr"
"41",41,5343.687657,3267.40679298481,0.611451679572747,"pahs","sthd","spw","spr"
"42",42,6138.844434,3106.09501513466,0.505973892729966,"pahs","sthd","spw","spr"
"43",43,4484.985228,3163.56086727604,0.705367065096617,"pahs","sthd","spw","spr"
"44",44,5857.069635,2910.81908174045,0.496975324374892,"pahs","sthd","spw","spr"
"45",45,4343.679765,2949.67547791358,0.679072960599245,"pahs","sthd","spw","spr"
"46",46,8750.069055,2911.59128673188,0.332750663843976,"pahs","sthd","spw","spr"
"47",47,8142.204726,3048.26798404055,0.374378695527847,"pahs","sthd","spw","spr"
"48",48,6433.161138,3034.82783960109,0.471747524195326,"pahs","sthd","spw","spr"
"49",49,6885.505845,2784.95659703668,0.404466521375334,"pahs","sthd","spw","spr"
