"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,29715.95358,1318.87665365357,0.0443827807882035,"upsa","chnk","juv","spr"
"2",2,38433.413682,3079.92293095449,0.080136595631029,"upsa","chnk","juv","spr"
"3",3,39803.825835,2450.27650781162,0.0615588189429033,"upsa","chnk","juv","spr"
"4",4,41566.381551,3131.39053938491,0.0753346917037473,"upsa","chnk","juv","spr"
"5",5,44421.755256,2148.41050216963,0.0483639264092214,"upsa","chnk","juv","spr"
"6",6,43864.058547,3277.40142498142,0.0747172408013661,"upsa","chnk","juv","spr"
"7",7,42688.463985,1946.21817489946,0.0455911970874223,"upsa","chnk","juv","spr"
"8",8,41558.020281,4545.02184043755,0.109365696674331,"upsa","chnk","juv","spr"
"9",9,57550.62141,6594.56915461132,0.114587279738138,"upsa","chnk","juv","spr"
"10",10,71378.489736,8586.49227736716,0.120295236129611,"upsa","chnk","juv","spr"
"11",11,47150.873784,5176.73432584153,0.109790846073317,"upsa","chnk","juv","spr"
"12",12,78075.867006,15284.5188892181,0.195764958819394,"upsa","chnk","juv","spr"
"13",13,64868.404914,13587.629091362,0.209464516807157,"upsa","chnk","juv","spr"
"14",14,55411.808544,8416.13432799256,0.151883408052089,"upsa","chnk","juv","spr"
"15",15,65885.971473,11522.8814312334,0.17489127311351,"upsa","chnk","juv","spr"
"16",16,62839.124685,7809.55420469237,0.124278532583643,"upsa","chnk","juv","spr"
"17",17,47159.235054,6492.01051286468,0.137661488898854,"upsa","chnk","juv","spr"
"18",18,36441.759168,4792.63850431799,0.13151501501954,"upsa","chnk","juv","spr"
"19",19,33281.199108,1732.19979693624,0.0520473974304569,"upsa","chnk","juv","spr"
"20",20,27898.213482,514.585211443016,0.0184450954816525,"upsa","chnk","juv","spr"
"21",21,31899.917304,2722.07915985538,0.0853318563153156,"upsa","chnk","juv","spr"
"22",22,34252.778682,1737.54305180535,0.0507270685376085,"upsa","chnk","juv","spr"
"23",23,45993.674016,6733.5391388128,0.146401418953189,"upsa","chnk","juv","spr"
"24",24,33766.988895,2371.32589465217,0.0702261579208592,"upsa","chnk","juv","spr"
"25",25,31820.485239,1714.03422367829,0.053865747514671,"upsa","chnk","juv","spr"
"26",26,42330.601629,6033.07659398625,0.142522817106693,"upsa","chnk","juv","spr"
"27",27,45031.291839,9212.6595339519,0.204583505329801,"upsa","chnk","juv","spr"
"28",28,53633.366415,14184.1692693648,0.264465391928071,"upsa","chnk","juv","spr"
"29",29,55546.424991,14647.5466876775,0.263699179381045,"upsa","chnk","juv","spr"
"30",30,41849.828604,11530.0575068577,0.275510268296669,"upsa","chnk","juv","spr"
"31",31,44300.516841,13828.5895813259,0.312154136507219,"upsa","chnk","juv","spr"
"32",32,37308.822867,9160.50098936795,0.245531761267936,"upsa","chnk","juv","spr"
"33",33,27198.375183,6784.50587058906,0.249445263731402,"upsa","chnk","juv","spr"
"34",34,24475.109544,3868.16464906244,0.158044834982596,"upsa","chnk","juv","spr"
"35",35,29195.046459,5406.02094329009,0.185169115962258,"upsa","chnk","juv","spr"
"36",36,35368.1721,5974.92862608586,0.168935182999912,"upsa","chnk","juv","spr"
"37",37,24445.008972,2245.56513573159,0.0918619067926597,"upsa","chnk","juv","spr"
"38",38,26619.775299,5039.05950515997,0.189297597314778,"upsa","chnk","juv","spr"
"39",39,32644.070334,7357.06195642892,0.225372077720537,"upsa","chnk","juv","spr"
"40",40,22623.924366,3375.02496756439,0.149179466522461,"upsa","chnk","juv","spr"
"41",41,24918.256854,4340.43064706933,0.174186768861907,"upsa","chnk","juv","spr"
"42",42,15462.496611,2731.38670766167,0.176645905016307,"upsa","chnk","juv","spr"
"43",43,23400.686349,5107.41347750684,0.218259131434626,"upsa","chnk","juv","spr"
"44",44,13964.993154,2871.39830962336,0.205614014841167,"upsa","chnk","juv","spr"
"45",45,18092.952153,4519.04466527514,0.249768231688262,"upsa","chnk","juv","spr"
"46",46,15562.831851,3999.03280350054,0.256960483913702,"upsa","chnk","juv","spr"
"47",47,10527.675057,1452.10965559864,0.137932605987218,"upsa","chnk","juv","spr"
"48",48,6583.663998,91.0226613678969,0.0138255326206726,"upsa","chnk","juv","spr"
"49",49,6007.572495,429.712957292795,0.0715285512826417,"upsa","chnk","juv","spr"
"50",50,2532.628683,69.549003219232,0.0274611922727055,"upsa","chnk","juv","spr"
