"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,22628.941128,8556.51405826863,0.378122600163611,"upsa","chnk","juv","sum"
"2",2,24754.375962,12185.9061438674,0.492272807142211,"upsa","chnk","juv","sum"
"3",3,25419.933054,9681.07993842801,0.380846004506083,"upsa","chnk","juv","sum"
"4",4,25740.169695,11113.6298027062,0.431762103140485,"upsa","chnk","juv","sum"
"5",5,30524.488389,13863.1751744947,0.454165684869941,"upsa","chnk","juv","sum"
"6",6,26807.067747,11614.2117597952,0.433251852437123,"upsa","chnk","juv","sum"
"7",7,28356.411078,12842.313138762,0.452889228592316,"upsa","chnk","juv","sum"
"8",8,23694.166926,11492.4091572389,0.48503115526835,"upsa","chnk","juv","sum"
"9",9,25602.20874,11369.0389020408,0.444064768688422,"upsa","chnk","juv","sum"
"10",10,26681.648697,11204.9406781441,0.419949336916499,"upsa","chnk","juv","sum"
"11",11,23990.155884,9853.20798273862,0.410718797759464,"upsa","chnk","juv","sum"
"12",12,28059.585993,13541.1070212186,0.482583991958995,"upsa","chnk","juv","sum"
"13",13,20443.30515,10169.4383258526,0.497445899830567,"upsa","chnk","juv","sum"
"14",14,22207.53312,10548.9060995132,0.475014763797105,"upsa","chnk","juv","sum"
"15",15,24317.917668,10645.8047062652,0.437776163716273,"upsa","chnk","juv","sum"
"16",16,35139.073302,13933.1025934294,0.396513091670985,"upsa","chnk","juv","sum"
"17",17,27028.641402,10887.2910449868,0.402805708324696,"upsa","chnk","juv","sum"
"18",18,23965.908201,10750.7013046816,0.448583096226373,"upsa","chnk","juv","sum"
"19",19,25789.501188,12119.9083098955,0.469955127148214,"upsa","chnk","juv","sum"
"20",20,22749.343416,9291.64141518436,0.408435586261773,"upsa","chnk","juv","sum"
"21",21,21978.434322,11352.2510819219,0.516517733501993,"upsa","chnk","juv","sum"
"22",22,26076.292749,11844.3228002675,0.454218048335176,"upsa","chnk","juv","sum"
"23",23,25754.383854,14186.2625028025,0.550829038785147,"upsa","chnk","juv","sum"
"24",24,21540.303774,10620.9147447217,0.493071725271655,"upsa","chnk","juv","sum"
"25",25,21050.333352,11195.2591385953,0.531832867033037,"upsa","chnk","juv","sum"
"26",26,18617.203782,8602.6834961772,0.462082469360661,"upsa","chnk","juv","sum"
"27",27,12759.29802,6104.68331269547,0.47844977859491,"upsa","chnk","juv","sum"
"28",28,9275.156811,5176.83505464345,0.558139895651566,"upsa","chnk","juv","sum"
"29",29,9592.048944,5177.41005550511,0.539760596065732,"upsa","chnk","juv","sum"
"30",30,11887.217559,6734.27209954523,0.566513741850935,"upsa","chnk","juv","sum"
"31",31,8907.260931,4843.34040924907,0.543751939767786,"upsa","chnk","juv","sum"
"32",32,8447.391081,4684.05834654719,0.554497631473775,"upsa","chnk","juv","sum"
"33",33,8252.57349,4430.8757061325,0.536908360949658,"upsa","chnk","juv","sum"
"34",34,8211.603267,4209.16325940564,0.512587264940212,"upsa","chnk","juv","sum"
"35",35,7311.930615,3553.06384466961,0.485926909287228,"upsa","chnk","juv","sum"
"36",36,7579.491255,3279.05374735966,0.43262187883607,"upsa","chnk","juv","sum"
"37",37,9145.557126,3733.92732813396,0.408277732749461,"upsa","chnk","juv","sum"
"38",38,8452.407843,4447.31456051022,0.526159485334506,"upsa","chnk","juv","sum"
"39",39,9449.071227,4648.67612636089,0.49197175200433,"upsa","chnk","juv","sum"
"40",40,10197.404892,4720.53450390697,0.462915276376864,"upsa","chnk","juv","sum"
"41",41,8469.96651,3711.48006783426,0.438193003886418,"upsa","chnk","juv","sum"
"42",42,7397.215569,3433.57406718284,0.464171151314306,"upsa","chnk","juv","sum"
"43",43,6224.965515,3025.94162567146,0.486097733132817,"upsa","chnk","juv","sum"
"44",44,5024.287143,2548.16786337364,0.507170030463692,"upsa","chnk","juv","sum"
"45",45,5137.164288,2791.978340514,0.543486286205765,"upsa","chnk","juv","sum"
"46",46,6141.352815,3112.90612205118,0.506876288632699,"upsa","chnk","juv","sum"
"47",47,5182.315146,2359.83297236077,0.455362691360487,"upsa","chnk","juv","sum"
"48",48,4512.577419,1933.15428129211,0.428392490985895,"upsa","chnk","juv","sum"
"49",49,4023.443124,1634.96347657964,0.406359286360235,"upsa","chnk","juv","sum"
"50",50,1628.775396,693.842614570167,0.425990358323271,"upsa","chnk","juv","sum"
