"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,22662.386208,8543.05198126379,0.376970540650659,"upsa","chnk","juv","win"
"2",2,24812.068725,12149.554412117,0.489663096889435,"upsa","chnk","juv","win"
"3",3,25498.528992,9663.57956355251,0.378985766848919,"upsa","chnk","juv","win"
"4",4,25818.765633,11098.6670356407,0.429868228148562,"upsa","chnk","juv","win"
"5",5,30621.479121,13862.0663385976,0.45269094558829,"upsa","chnk","juv","win"
"6",6,26930.814543,11631.4974743044,0.43190292130721,"upsa","chnk","juv","win"
"7",7,28459.254699,12832.2485130676,0.450898965864995,"upsa","chnk","juv","win"
"8",8,23761.057086,11464.6442836029,0.482497232429861,"upsa","chnk","juv","win"
"9",9,25721.774901,11342.225535098,0.440958121232024,"upsa","chnk","juv","win"
"10",10,26961.751242,11204.6101613268,0.415574272633771,"upsa","chnk","juv","win"
"11",11,24149.856141,9835.5118762413,0.407269998579546,"upsa","chnk","juv","win"
"12",12,28246.878441,13504.7726817541,0.47809787938026,"upsa","chnk","juv","win"
"13",13,20853.00738,10210.0897179102,0.489621929914176,"upsa","chnk","juv","win"
"14",14,22522.752999,10609.1078261947,0.47103956726186,"upsa","chnk","juv","win"
"15",15,25124.780223,10804.0001612147,0.430013718142872,"upsa","chnk","juv","win"
"16",16,35725.198329,14091.6491514305,0.394445652104093,"upsa","chnk","juv","win"
"17",17,27392.356647,10977.8236111924,0.400762291199019,"upsa","chnk","juv","win"
"18",18,24209.221158,10734.063732761,0.443387404440058,"upsa","chnk","juv","win"
"19",19,26116.426845,12155.4995671804,0.465435016793179,"upsa","chnk","juv","win"
"20",20,22984.295103,9272.50146441814,0.403427706739105,"upsa","chnk","juv","win"
"21",21,22228.436295,11339.773363844,0.510147147255462,"upsa","chnk","juv","win"
"22",22,26342.181135,11983.8800557663,0.454931199294038,"upsa","chnk","juv","win"
"23",23,26598.035997,14541.5051775742,0.546713493402835,"upsa","chnk","juv","win"
"24",24,22178.268675,10769.0308066914,0.485566793535627,"upsa","chnk","juv","win"
"25",25,21605.52168,11437.5467978194,0.529380728094478,"upsa","chnk","juv","win"
"26",26,20163.202605,9486.81718534604,0.470501505697985,"upsa","chnk","juv","win"
"27",27,14046.9336,7024.3544594571,0.500063192400731,"upsa","chnk","juv","win"
"28",28,10683.194679,6160.86950465292,0.57668793743536,"upsa","chnk","juv","win"
"29",29,11292.731262,6547.57796192542,0.579804638046953,"upsa","chnk","juv","win"
"30",30,13986.732456,8254.95648859441,0.590199070051792,"upsa","chnk","juv","win"
"31",31,10333.693593,5820.6862721201,0.563272582038141,"upsa","chnk","juv","win"
"32",32,9902.252061,6037.42642062902,0.609702356942358,"upsa","chnk","juv","win"
"33",33,10163.959812,5632.53963355348,0.554167837903438,"upsa","chnk","juv","win"
"34",34,9683.186787,5295.50449000672,0.546876209918423,"upsa","chnk","juv","win"
"35",35,8721.640737,4533.44518282078,0.519792699507611,"upsa","chnk","juv","win"
"36",36,10946.574684,4709.19960904866,0.430198463445542,"upsa","chnk","juv","win"
"37",37,11031.859638,5045.46245455742,0.457353757219497,"upsa","chnk","juv","win"
"38",38,11103.76656,5979.88116945699,0.538545288857098,"upsa","chnk","juv","win"
"39",39,11278.517103,6353.90628874302,0.563363625795534,"upsa","chnk","juv","win"
"40",40,12372.171219,6571.89668364078,0.531183780705224,"upsa","chnk","juv","win"
"41",41,12988.396818,6167.53593893908,0.474849669698402,"upsa","chnk","juv","win"
"42",42,8385.517683,4267.10309939086,0.508865792274409,"upsa","chnk","juv","win"
"43",43,8735.854896,4312.20527259074,0.493621439907985,"upsa","chnk","juv","win"
"44",44,6435.669519,3190.72550897952,0.495787656522691,"upsa","chnk","juv","win"
"45",45,5459.90931,3164.26005737484,0.579544435212393,"upsa","chnk","juv","win"
"46",46,6640.520634,3675.52062188089,0.553498863185806,"upsa","chnk","juv","win"
"47",47,5490.846009,2722.27835669287,0.495784866709211,"upsa","chnk","juv","win"
"48",48,4777.629678,2134.64659930021,0.446800347278864,"upsa","chnk","juv","win"
"49",49,4377.124845,1975.16427898733,0.451246959803663,"upsa","chnk","juv","win"
"50",50,1856.20194,897.886015862226,0.483722162181463,"upsa","chnk","juv","win"
