"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,22628.941128,21628.2905451803,0.955780052758124,"upsa","chnk","spw","sum"
"2",2,24754.375962,23205.7654635282,0.937440939700964,"upsa","chnk","spw","sum"
"3",3,25419.933054,22418.8762271977,0.881940805255974,"upsa","chnk","spw","sum"
"4",4,25740.169695,23906.4024805184,0.928758542145985,"upsa","chnk","spw","sum"
"5",5,30524.488389,26567.973260103,0.870382262317531,"upsa","chnk","spw","sum"
"6",6,26807.067747,21084.3490899378,0.786522020570389,"upsa","chnk","spw","sum"
"7",7,28356.411078,23129.7637497699,0.815680224346686,"upsa","chnk","spw","sum"
"8",8,23694.166926,19853.6734155854,0.837913967500569,"upsa","chnk","spw","sum"
"9",9,25602.20874,20093.9849493941,0.784853570778055,"upsa","chnk","spw","sum"
"10",10,26681.648697,18005.1541534984,0.674814152527344,"upsa","chnk","spw","sum"
"11",11,23990.155884,21884.2479755981,0.912217831406155,"upsa","chnk","spw","sum"
"12",12,28059.585993,20950.2514658766,0.746634375542926,"upsa","chnk","spw","sum"
"13",13,20443.30515,16603.9627890289,0.812195614515341,"upsa","chnk","spw","sum"
"14",14,22207.53312,18370.3112683842,0.827210801358211,"upsa","chnk","spw","sum"
"15",15,24317.917668,16935.4955484113,0.696420465749694,"upsa","chnk","spw","sum"
"16",16,35139.073302,20664.4932197207,0.58807735315389,"upsa","chnk","spw","sum"
"17",17,27028.641402,18916.2290734509,0.699858671847679,"upsa","chnk","spw","sum"
"18",18,23965.908201,18206.9516480025,0.759702135854914,"upsa","chnk","spw","sum"
"19",19,25789.501188,20573.4635087813,0.797745693443432,"upsa","chnk","spw","sum"
"20",20,22749.343416,20220.9938755515,0.888860548886424,"upsa","chnk","spw","sum"
"21",21,21978.434322,18173.1466526017,0.826862659384735,"upsa","chnk","spw","sum"
"22",22,26076.292749,20237.2545906615,0.776078669826929,"upsa","chnk","spw","sum"
"23",23,25754.383854,13863.189027095,0.538284631683854,"upsa","chnk","spw","sum"
"24",24,21540.303774,13638.2514387267,0.633150376235111,"upsa","chnk","spw","sum"
"25",25,21050.333352,13586.8238361562,0.645444592679825,"upsa","chnk","spw","sum"
"26",26,18617.203782,9506.98069616314,0.510655671361074,"upsa","chnk","spw","sum"
"27",27,12759.29802,2417.37114980165,0.189459572620097,"upsa","chnk","spw","sum"
"28",28,9275.156811,1634.92727487138,0.176269502304524,"upsa","chnk","spw","sum"
"29",29,9592.048944,1560.60190768447,0.162697450439997,"upsa","chnk","spw","sum"
"30",30,11887.217559,1349.65681514051,0.113538496998287,"upsa","chnk","spw","sum"
"31",31,8907.260931,1583.51957780961,0.177778510147657,"upsa","chnk","spw","sum"
"32",32,8447.391081,1189.98101953953,0.140869649354349,"upsa","chnk","spw","sum"
"33",33,8252.57349,1450.43794033397,0.175755834478969,"upsa","chnk","spw","sum"
"34",34,8211.603267,1456.81070769764,0.177408803169064,"upsa","chnk","spw","sum"
"35",35,7311.930615,1420.96531599201,0.194335175046244,"upsa","chnk","spw","sum"
"36",36,7579.491255,1929.1924329761,0.25452795815332,"upsa","chnk","spw","sum"
"37",37,9145.557126,1846.66199809778,0.201919027201513,"upsa","chnk","spw","sum"
"38",38,8452.407843,1407.33603781415,0.166501198706314,"upsa","chnk","spw","sum"
"39",39,9449.071227,1095.41439495422,0.115928260951633,"upsa","chnk","spw","sum"
"40",40,10197.404892,1095.03262927057,0.107383460877349,"upsa","chnk","spw","sum"
"41",41,8469.96651,1322.47161211073,0.156136581006474,"upsa","chnk","spw","sum"
"42",42,7397.215569,1435.37762526004,0.194042962770393,"upsa","chnk","spw","sum"
"43",43,6224.965515,1536.55585494172,0.246837649339447,"upsa","chnk","spw","sum"
"44",44,5024.287143,1718.98436014634,0.342134975812694,"upsa","chnk","spw","sum"
"45",45,5137.164288,1605.61995109357,0.312549854565517,"upsa","chnk","spw","sum"
"46",46,6141.352815,1102.39169111894,0.179503071119184,"upsa","chnk","spw","sum"
"47",47,5182.315146,1864.47696403367,0.359776839405991,"upsa","chnk","spw","sum"
"48",48,4512.577419,2054.72646881966,0.455333233767542,"upsa","chnk","spw","sum"
"49",49,4023.443124,1159.30890833354,0.288138510376402,"upsa","chnk","spw","sum"
"50",50,1628.775396,366.878167643212,0.225247857098163,"upsa","chnk","spw","sum"
