"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,29715.95358,33141.9014532272,1.11528985142624,"upsa","sthd","juv","spr"
"2",2,38433.413682,39278.7507503906,1.02199484738423,"upsa","sthd","juv","spr"
"3",3,39803.825835,42297.1060315727,1.06263920978119,"upsa","sthd","juv","spr"
"4",4,41566.381551,43958.7915696414,1.05755636957973,"upsa","sthd","juv","spr"
"5",5,44421.755256,45374.1120835829,1.02143897336101,"upsa","sthd","juv","spr"
"6",6,43864.058547,43646.500540374,0.995040176084188,"upsa","sthd","juv","spr"
"7",7,42688.463985,45684.3032750897,1.07017913062279,"upsa","sthd","juv","spr"
"8",8,41558.020281,40800.2161980466,0.981765154407515,"upsa","sthd","juv","spr"
"9",9,57550.62141,51266.7242277434,0.890810958625639,"upsa","sthd","juv","spr"
"10",10,71378.489736,56745.1754159939,0.794989857951201,"upsa","sthd","juv","spr"
"11",11,47150.873784,45410.1359604997,0.963081536272802,"upsa","sthd","juv","spr"
"12",12,78075.867006,67106.184075477,0.859499697522667,"upsa","sthd","juv","spr"
"13",13,64868.404914,52868.6122191269,0.815013291743769,"upsa","sthd","juv","spr"
"14",14,55411.808544,49300.0539826461,0.889703030419936,"upsa","sthd","juv","spr"
"15",15,65885.971473,58462.5605413845,0.887329415266227,"upsa","sthd","juv","spr"
"16",16,62839.124685,56680.3212885771,0.901990942310291,"upsa","sthd","juv","spr"
"17",17,47159.235054,47071.3552281514,0.998136529870598,"upsa","sthd","juv","spr"
"18",18,36441.759168,37134.4506642447,1.01900817940899,"upsa","sthd","juv","spr"
"19",19,33281.199108,36587.0698634268,1.09933147975525,"upsa","sthd","juv","spr"
"20",20,27898.213482,32020.8031541175,1.14777253298952,"upsa","sthd","juv","spr"
"21",21,31899.917304,33437.8330014164,1.04821064840891,"upsa","sthd","juv","spr"
"22",22,34252.778682,36791.4325971051,1.07411526926541,"upsa","sthd","juv","spr"
"23",23,45993.674016,39918.6496606426,0.867916088781163,"upsa","sthd","juv","spr"
"24",24,33766.988895,35069.3608676573,1.03856938433886,"upsa","sthd","juv","spr"
"25",25,31820.485239,32301.5779514362,1.01511896216612,"upsa","sthd","juv","spr"
"26",26,42330.601629,33680.957775306,0.795664518791808,"upsa","sthd","juv","spr"
"27",27,45031.291839,31033.1562157797,0.689146479002475,"upsa","sthd","juv","spr"
"28",28,53633.366415,36229.8261956797,0.675509083568303,"upsa","sthd","juv","spr"
"29",29,55546.424991,37738.3537361312,0.679402027083575,"upsa","sthd","juv","spr"
"30",30,41849.828604,28876.8628126709,0.690011495289872,"upsa","sthd","juv","spr"
"31",31,44300.516841,29243.8426011722,0.660124185596568,"upsa","sthd","juv","spr"
"32",32,37308.822867,26984.4476574583,0.723272555493203,"upsa","sthd","juv","spr"
"33",33,27198.375183,22755.0294053329,0.836631940409281,"upsa","sthd","juv","spr"
"34",34,24475.109544,21109.8723875693,0.862503693788136,"upsa","sthd","juv","spr"
"35",35,29195.046459,22571.6837387855,0.773134023625685,"upsa","sthd","juv","spr"
"36",36,35368.1721,26620.3609008831,0.752664311449761,"upsa","sthd","juv","spr"
"37",37,24445.008972,22570.4357467242,0.923314684505825,"upsa","sthd","juv","spr"
"38",38,26619.775299,22043.8201031619,0.828099405632099,"upsa","sthd","juv","spr"
"39",39,32644.070334,22462.8862834655,0.68811536225829,"upsa","sthd","juv","spr"
"40",40,22623.924366,20355.709873119,0.899742659311142,"upsa","sthd","juv","spr"
"41",41,24918.256854,22398.3749858094,0.898874071209916,"upsa","sthd","juv","spr"
"42",42,15462.496611,14137.0152777743,0.914277663784077,"upsa","sthd","juv","spr"
"43",43,23400.686349,18993.6920831197,0.811672435579285,"upsa","sthd","juv","spr"
"44",44,13964.993154,11698.4216312117,0.83769619520801,"upsa","sthd","juv","spr"
"45",45,18092.952153,13538.4377718078,0.748271352144319,"upsa","sthd","juv","spr"
"46",46,15562.831851,11482.7021913274,0.737828584236074,"upsa","sthd","juv","spr"
"47",47,10527.675057,8660.90473515439,0.822679716866416,"upsa","sthd","juv","spr"
"48",48,6583.663998,7119.48461813691,1.08138638610653,"upsa","sthd","juv","spr"
"49",49,6007.572495,6116.22150975481,1.01808534392972,"upsa","sthd","juv","spr"
"50",50,2532.628683,2610.19781955983,1.03062791520941,"upsa","sthd","juv","spr"
