"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,22628.941128,20857.0362078558,0.921697400239742,"upsa","sthd","juv","sum"
"2",2,24754.375962,23865.4835889967,0.964091505503198,"upsa","sthd","juv","sum"
"3",3,25419.933054,21907.6950490243,0.861831343240968,"upsa","sthd","juv","sum"
"4",4,25740.169695,23524.2673385674,0.913912674908937,"upsa","sthd","juv","sum"
"5",5,30524.488389,28952.7396438106,0.948508596600892,"upsa","sthd","juv","sum"
"6",6,26807.067747,22583.6416868921,0.842451024484746,"upsa","sthd","juv","sum"
"7",7,28356.411078,25620.7279930305,0.90352505902653,"upsa","sthd","juv","sum"
"8",8,23694.166926,21632.0876572604,0.912971016234512,"upsa","sthd","juv","sum"
"9",9,25602.20874,22416.2021367701,0.875557353836735,"upsa","sthd","juv","sum"
"10",10,26681.648697,21967.0208811666,0.823300731173952,"upsa","sthd","juv","sum"
"11",11,23990.155884,21804.0368967706,0.908874331713392,"upsa","sthd","juv","sum"
"12",12,28059.585993,24635.9718725703,0.877987717948378,"upsa","sthd","juv","sum"
"13",13,20443.30515,18743.9167443728,0.91687310867014,"upsa","sthd","juv","sum"
"14",14,22207.53312,20073.1043845072,0.903887175403085,"upsa","sthd","juv","sum"
"15",15,24317.917668,19066.0402414976,0.784032601055586,"upsa","sthd","juv","sum"
"16",16,35139.073302,24961.9068840254,0.710374649595687,"upsa","sthd","juv","sum"
"17",17,27028.641402,20690.3944975545,0.765498871727362,"upsa","sthd","juv","sum"
"18",18,23965.908201,20553.4595953344,0.85761238101032,"upsa","sthd","juv","sum"
"19",19,25789.501188,23961.1814676381,0.929106045633306,"upsa","sthd","juv","sum"
"20",20,22749.343416,21058.0845022912,0.925656803241216,"upsa","sthd","juv","sum"
"21",21,21978.434322,21114.671309995,0.960699520295659,"upsa","sthd","juv","sum"
"22",22,26076.292749,24725.1435444223,0.948184766232558,"upsa","sthd","juv","sum"
"23",23,25754.383854,22916.9864157664,0.889828564553569,"upsa","sthd","juv","sum"
"24",24,21540.303774,19189.3617746115,0.890858456591211,"upsa","sthd","juv","sum"
"25",25,21050.333352,19759.2261772789,0.938665713595531,"upsa","sthd","juv","sum"
"26",26,18617.203782,15576.9558197091,0.836696853196055,"upsa","sthd","juv","sum"
"27",27,12759.29802,8630.16261917023,0.676382243415161,"upsa","sthd","juv","sum"
"28",28,9275.156811,6860.67392190522,0.739682795849738,"upsa","sthd","juv","sum"
"29",29,9592.048944,6240.55358883811,0.65059651230634,"upsa","sthd","juv","sum"
"30",30,11887.217559,6147.59256738922,0.517159927197158,"upsa","sthd","juv","sum"
"31",31,8907.260931,5790.25023400388,0.650059572618114,"upsa","sthd","juv","sum"
"32",32,8447.391081,6337.89141425013,0.750277967893,"upsa","sthd","juv","sum"
"33",33,8252.57349,5733.28223679755,0.694726589680761,"upsa","sthd","juv","sum"
"34",34,8211.603267,5559.74371567807,0.677059465113351,"upsa","sthd","juv","sum"
"35",35,7311.930615,5345.08234301522,0.731008351207558,"upsa","sthd","juv","sum"
"36",36,7579.491255,5923.98614927358,0.781580972913674,"upsa","sthd","juv","sum"
"37",37,9145.557126,6350.46437323443,0.694376983899715,"upsa","sthd","juv","sum"
"38",38,8452.407843,5736.80868997182,0.678718868815926,"upsa","sthd","juv","sum"
"39",39,9449.071227,6037.54224398205,0.638956157588296,"upsa","sthd","juv","sum"
"40",40,10197.404892,6332.64342624203,0.62100539238273,"upsa","sthd","juv","sum"
"41",41,8469.96651,6102.91981392437,0.720536475170121,"upsa","sthd","juv","sum"
"42",42,7397.215569,5593.78727777299,0.756201739099675,"upsa","sthd","juv","sum"
"43",43,6224.965515,4876.47029435743,0.783373061683127,"upsa","sthd","juv","sum"
"44",44,5024.287143,4206.15595875566,0.837164723878453,"upsa","sthd","juv","sum"
"45",45,5137.164288,4573.84244826522,0.890343814572827,"upsa","sthd","juv","sum"
"46",46,6141.352815,5024.9112449458,0.818209179038316,"upsa","sthd","juv","sum"
"47",47,5182.315146,4543.13454022538,0.876661185634769,"upsa","sthd","juv","sum"
"48",48,4512.577419,3952.26899648458,0.875834058789492,"upsa","sthd","juv","sum"
"49",49,4023.443124,3015.45072553906,0.749470200672598,"upsa","sthd","juv","sum"
"50",50,1628.775396,1288.46318979189,0.791062532597274,"upsa","sthd","juv","sum"
