"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,22662.386208,20896.017174652,0.922057235406021,"upsa","sthd","juv","win"
"2",2,24812.068725,23915.8858915411,0.963881172368511,"upsa","sthd","juv","win"
"3",3,25498.528992,21978.2970250303,0.861943723574245,"upsa","sthd","juv","win"
"4",4,25818.765633,23557.8157743383,0.912429978613234,"upsa","sthd","juv","win"
"5",5,30621.479121,29030.5483882079,0.948045268273763,"upsa","sthd","juv","win"
"6",6,26930.814543,22738.9105595815,0.844345443888251,"upsa","sthd","juv","win"
"7",7,28459.254699,25725.2651081868,0.903933197839182,"upsa","sthd","juv","win"
"8",8,23761.057086,21703.1309855385,0.913390801890123,"upsa","sthd","juv","win"
"9",9,25721.774901,22510.2354781623,0.875143164295679,"upsa","sthd","juv","win"
"10",10,26961.751242,22146.9445548361,0.821420847483247,"upsa","sthd","juv","win"
"11",11,24149.856141,21865.5283786597,0.905410295241383,"upsa","sthd","juv","win"
"12",12,28246.878441,24767.7262416906,0.876830560000591,"upsa","sthd","juv","win"
"13",13,20853.00738,18876.0334944098,0.905194783200131,"upsa","sthd","juv","win"
"14",14,22522.752999,20333.17283524,0.902783635559239,"upsa","sthd","juv","win"
"15",15,25124.780223,19288.7398292487,0.767717753470783,"upsa","sthd","juv","win"
"16",16,35725.198329,25358.381864014,0.709817805082115,"upsa","sthd","juv","win"
"17",17,27392.356647,20985.7729497026,0.766117834260929,"upsa","sthd","juv","win"
"18",18,24209.221158,20725.8292332364,0.856113011565738,"upsa","sthd","juv","win"
"19",19,26116.426845,24308.3562871685,0.930768838763345,"upsa","sthd","juv","win"
"20",20,22984.295103,21274.5701802419,0.925613340974947,"upsa","sthd","juv","win"
"21",21,22228.436295,21333.6748956187,0.959746993107987,"upsa","sthd","juv","win"
"22",22,26342.181135,25166.9668371387,0.955386598708798,"upsa","sthd","juv","win"
"23",23,26598.035997,23810.3959699311,0.895193764404885,"upsa","sthd","juv","win"
"24",24,22178.268675,19944.5171174991,0.899281968749037,"upsa","sthd","juv","win"
"25",25,21605.52168,20514.1819228969,0.949487923815637,"upsa","sthd","juv","win"
"26",26,20163.202605,17527.8031723373,0.869296585255303,"upsa","sthd","juv","win"
"27",27,14046.9336,11225.7854271315,0.799162703177548,"upsa","sthd","juv","win"
"28",28,10683.194679,9310.51063991214,0.871509966790537,"upsa","sthd","juv","win"
"29",29,11292.731262,9344.83808788208,0.827509118128705,"upsa","sthd","juv","win"
"30",30,13986.732456,9609.3817157778,0.687035499249546,"upsa","sthd","juv","win"
"31",31,10333.693593,8757.17857475645,0.847439349342478,"upsa","sthd","juv","win"
"32",32,9902.252061,9344.55617479267,0.943679893950204,"upsa","sthd","juv","win"
"33",33,10163.959812,8434.98548758517,0.829891660691778,"upsa","sthd","juv","win"
"34",34,9683.186787,8297.14912523576,0.856861414299573,"upsa","sthd","juv","win"
"35",35,8721.640737,7786.79619500331,0.892813225150311,"upsa","sthd","juv","win"
"36",36,10946.574684,8654.31454024799,0.790595669428677,"upsa","sthd","juv","win"
"37",37,11031.859638,9549.18267121575,0.865600450383082,"upsa","sthd","juv","win"
"38",38,11103.76656,9099.17019997165,0.819466993547066,"upsa","sthd","juv","win"
"39",39,11278.517103,9636.88366202811,0.854445985586596,"upsa","sthd","juv","win"
"40",40,12372.171219,10246.7706614648,0.828211191074434,"upsa","sthd","juv","win"
"41",41,12988.396818,10778.453200777,0.829852471541343,"upsa","sthd","juv","win"
"42",42,8385.517683,7283.54841527971,0.868586614520614,"upsa","sthd","juv","win"
"43",43,8735.854896,7354.25276423912,0.841846945924721,"upsa","sthd","juv","win"
"44",44,6435.669519,5354.92569387893,0.832069713659101,"upsa","sthd","juv","win"
"45",45,5459.90931,5262.21301057345,0.96379128512914,"upsa","sthd","juv","win"
"46",46,6640.520634,5944.90759683036,0.895247213959694,"upsa","sthd","juv","win"
"47",47,5490.846009,5247.1341692917,0.955614883515431,"upsa","sthd","juv","win"
"48",48,4777.629678,4487.58330785483,0.939290738359071,"upsa","sthd","juv","win"
"49",49,4377.124845,3890.67086212683,0.888864494365784,"upsa","sthd","juv","win"
"50",50,1856.20194,1809.13548630849,0.97464367821342,"upsa","sthd","juv","win"
