"","Reach","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1",1,9907.268823,7443.05261921696,0.751271894625258,"upsa","sthd","spw","spr"
"2",2,17350.471377,11236.3457213938,0.647610400734637,"upsa","sthd","spw","spr"
"3",3,17240.102613,12025.1462283758,0.697510130787053,"upsa","sthd","spw","spr"
"4",4,19386.440622,12923.6168687847,0.666631751582018,"upsa","sthd","spw","spr"
"5",5,21455.854947,14156.5708824894,0.659799896925983,"upsa","sthd","spw","spr"
"6",6,23302.85949,14564.1592558799,0.624994510314491,"upsa","sthd","spw","spr"
"7",7,22223.419533,17131.6591905332,0.770883129173441,"upsa","sthd","spw","spr"
"8",8,22276.931661,12594.0745535847,0.565341526617555,"upsa","sthd","spw","spr"
"9",9,37490.262426,16408.0245243604,0.437660967477818,"upsa","sthd","spw","spr"
"10",10,52180.177689,24035.6189920427,0.460627388724083,"upsa","sthd","spw","spr"
"11",11,26746.030476,14030.6151865851,0.524586824170981,"upsa","sthd","spw","spr"
"12",12,64091.642931,37758.1935257416,0.589128188933952,"upsa","sthd","spw","spr"
"13",13,53466.141015,28871.0697481432,0.539987910106386,"upsa","sthd","spw","spr"
"14",14,41246.14491,24234.1566279742,0.587549616596986,"upsa","sthd","spw","spr"
"15",15,53377.511553,34202.1518199312,0.64075957879698,"upsa","sthd","spw","spr"
"16",16,48201.885423,30667.9013819819,0.636238626619123,"upsa","sthd","spw","spr"
"17",17,31785.367905,21663.6301546213,0.681559836569126,"upsa","sthd","spw","spr"
"18",18,19639.787103,12766.1410397943,0.650014227386623,"upsa","sthd","spw","spr"
"19",19,15598.785312,12095.8639198057,0.775436271342263,"upsa","sthd","spw","spr"
"20",20,7766.783703,6441.80408298038,0.829404336378283,"upsa","sthd","spw","spr"
"21",21,15879.723984,11456.1775412271,0.721434299032529,"upsa","sthd","spw","spr"
"22",22,18827.907786,13598.6508389203,0.722260327248464,"upsa","sthd","spw","spr"
"23",23,37437.586425,21981.0659377892,0.587138970131651,"upsa","sthd","spw","spr"
"24",24,21730.94073,16910.0531971643,0.778155598842514,"upsa","sthd","spw","spr"
"25",25,21368.061612,15163.0136507461,0.709611097444176,"upsa","sthd","spw","spr"
"26",26,34835.559201,17557.5440323488,0.504012119657456,"upsa","sthd","spw","spr"
"27",27,41194.305036,14667.1131711095,0.35604710792649,"upsa","sthd","spw","spr"
"28",28,50807.257155,17392.7689141661,0.342328436685831,"upsa","sthd","spw","spr"
"29",29,53824.003371,18112.7585791685,0.336518234333485,"upsa","sthd","spw","spr"
"30",30,37120.694292,15668.1804999691,0.42208748512944,"upsa","sthd","spw","spr"
"31",31,39619.041768,12904.2950257263,0.32570941774137,"upsa","sthd","spw","spr"
"32",32,35353.121814,13509.9402331915,0.382142779477016,"upsa","sthd","spw","spr"
"33",33,24225.943698,14623.6369361568,0.603635388509718,"upsa","sthd","spw","spr"
"34",34,20464.208325,11747.2191639962,0.57403731321701,"upsa","sthd","spw","spr"
"35",35,24899.86206,12345.1227600605,0.495790809214647,"upsa","sthd","spw","spr"
"36",36,31487.706693,16117.1671776741,0.511855859647509,"upsa","sthd","spw","spr"
"37",37,19986.779808,13984.7435791036,0.699699687165514,"upsa","sthd","spw","spr"
"38",38,23891.492898,14575.3109773397,0.610062796810821,"upsa","sthd","spw","spr"
"39",39,30887.367507,13833.5072477241,0.447869416018993,"upsa","sthd","spw","spr"
"40",40,21697.49565,15418.5592238163,0.710614693627846,"upsa","sthd","spw","spr"
"41",41,23338.812951,16460.6054923758,0.705288890524764,"upsa","sthd","spw","spr"
"42",42,15246.775845,12318.8022352858,0.807961129652572,"upsa","sthd","spw","spr"
"43",43,23089.647105,16292.6803676812,0.705627084450029,"upsa","sthd","spw","spr"
"44",44,13638.903624,10258.5519101558,0.752153706263025,"upsa","sthd","spw","spr"
"45",45,18027.734247,11445.6962229232,0.634893773455081,"upsa","sthd","spw","spr"
"46",46,15562.831851,9904.86423883541,0.636443568475551,"upsa","sthd","spw","spr"
"47",47,10386.369594,7500.68377871066,0.722166076493529,"upsa","sthd","spw","spr"
"48",48,6138.008307,5657.85213242285,0.921773293459124,"upsa","sthd","spw","spr"
"49",49,5656.399155,5225.57289594784,0.923833830101731,"upsa","sthd","spw","spr"
"50",50,2473.263666,2359.29793954641,0.953920915096808,"upsa","sthd","spw","spr"
